data_type,framework,prompt,attempt_count,validation_count,validation_rate,validation_rate_pct,performance_attempt_count,median_speedup,geometric_mean_speedup,speedup_q1,speedup_q3,speedup_iqr,speedup_at_5,contributing_benchmark_count,benchmark_count,baseline_framework
DOUBLE,c,AllHints,130,111,0.8538461538461538,85.38461538461539,111,1.7041159897730163,2.030528493957774,1.0530300336959937,4.805266568866122,3.752236535170128,2.8751202924338792,25,26,c
DOUBLE,c,ChooseHints,130,113,0.8692307692307693,86.92307692307692,113,1.733108997212055,1.944936234935301,1.0228228327707634,4.067495318020673,3.04467248524991,2.4779864200189454,26,26,c
DOUBLE,c,FromPlan,130,118,0.9076923076923077,90.76923076923077,118,1.8023269024111581,1.6323609897387916,1.2822547496159509,2.8061773783511565,1.5239226287352057,2.138130988668084,25,26,c
DOUBLE,c,Naive,130,118,0.9076923076923077,90.76923076923077,118,1.3846737165108802,1.6324654499969284,1.0501965058492486,2.5763316914808403,1.5261351856315917,2.0135271527686616,26,26,c
DOUBLE,exo,AllHints,130,89,0.6846153846153846,68.46153846153847,89,1.1118567508284414,0.9853059925304972,0.8171549946833513,2.4683800336496935,1.6512250389663423,1.5462756776389606,25,26,c
DOUBLE,exo,ChooseHints,130,87,0.6692307692307692,66.92307692307692,87,1.366805432280045,1.3095512124874151,0.9309856404546688,2.9487440756055103,2.0177584351508413,1.6126136610205855,25,26,c
DOUBLE,exo,FromPlan,130,56,0.4307692307692308,43.07692307692308,56,1.0460198181094427,0.9052028942138558,0.7110208705527896,2.52821277994349,1.8171919093907005,1.0201445995629204,24,26,c
DOUBLE,exo,Naive,130,81,0.6230769230769231,62.30769230769231,81,1.0699014749409694,1.1427075040789487,0.8613997419583761,2.02025752449773,1.158857782539354,1.5325644326257835,25,26,c
DOUBLE,halide,AllHints,130,13,0.1,10.0,13,0.20919904968448902,0.21090610089395756,0.08496179640657298,0.5059622404446624,0.42100044403808945,0.2988685075139873,9,26,c
DOUBLE,halide,ChooseHints,130,18,0.13846153846153847,13.846153846153847,18,0.2215685484525499,0.19374735902637027,0.13018927010425785,0.45572712068634547,0.3255378505820876,0.19154791957764294,11,26,c
DOUBLE,halide,FromPlan,130,17,0.13076923076923078,13.076923076923078,17,0.2150070101545854,0.3617603103035664,0.10860254177688328,1.0818455856323794,0.9732430438554962,0.3037992428396384,12,26,c
DOUBLE,halide,Naive,130,14,0.1076923076923077,10.76923076923077,14,0.30638751336286496,0.25705942289893463,0.11897684133094263,0.7782928079215067,0.659315966590564,0.32399427789086666,10,26,c
DOUBLE,noarr,AllHints,130,110,0.8461538461538461,84.61538461538461,110,1.1893628726330903,1.0640631280866695,0.99562933890061,1.8811247497480297,0.8854954108474197,1.8803313328896087,23,26,c
DOUBLE,noarr,ChooseHints,130,108,0.8307692307692308,83.07692307692308,108,1.2388811011769918,1.083854192617901,1.0311545425030797,2.2341778776429035,1.2030233351398238,1.6929549843328786,23,26,c
DOUBLE,noarr,FromPlan,130,98,0.7538461538461538,75.38461538461539,98,1.2468455907992348,1.281971654120994,1.023412156184461,1.640212665646899,0.616800509462438,1.6880863785646376,23,26,c
DOUBLE,noarr,Naive,130,107,0.823076923076923,82.3076923076923,107,1.238944240060918,1.3707481871076619,1.0313860210358232,2.6086408872343156,1.5772548661984924,1.8095046160436663,23,26,c
