data_type,framework,version,algorithm,repetition,category
DOUBLE,c,AllHints,3mm,1,speedup_over
DOUBLE,c,AllHints,3mm,2,speedup_over
DOUBLE,c,AllHints,3mm,3,invalid_code
DOUBLE,c,AllHints,3mm,4,speedup_over
DOUBLE,c,AllHints,3mm,5,speedup_over
DOUBLE,c,AllHints,adi,1,speedup_over
DOUBLE,c,AllHints,adi,2,speedup_over
DOUBLE,c,AllHints,adi,3,speedup_over
DOUBLE,c,AllHints,adi,4,speedup_over
DOUBLE,c,AllHints,adi,5,speedup_over
DOUBLE,c,AllHints,atax,1,slowdown
DOUBLE,c,AllHints,atax,2,slowdown
DOUBLE,c,AllHints,atax,3,speedup_over
DOUBLE,c,AllHints,atax,4,slowdown
DOUBLE,c,AllHints,atax,5,speedup_under
DOUBLE,c,AllHints,bicg,1,speedup_over
DOUBLE,c,AllHints,bicg,2,invalid_code
DOUBLE,c,AllHints,bicg,3,speedup_over
DOUBLE,c,AllHints,bicg,4,speedup_over
DOUBLE,c,AllHints,bicg,5,speedup_over
DOUBLE,c,AllHints,cholesky,1,speedup_under
DOUBLE,c,AllHints,cholesky,2,speedup_under
DOUBLE,c,AllHints,cholesky,3,slowdown
DOUBLE,c,AllHints,cholesky,4,speedup_under
DOUBLE,c,AllHints,cholesky,5,speedup_under
DOUBLE,c,AllHints,correlation,1,speedup_over
DOUBLE,c,AllHints,correlation,2,speedup_over
DOUBLE,c,AllHints,correlation,3,speedup_over
DOUBLE,c,AllHints,correlation,4,speedup_over
DOUBLE,c,AllHints,correlation,5,invalid_code
DOUBLE,c,AllHints,covariance,1,speedup_over
DOUBLE,c,AllHints,covariance,2,speedup_over
DOUBLE,c,AllHints,covariance,3,speedup_over
DOUBLE,c,AllHints,covariance,4,invalid_algorithm
DOUBLE,c,AllHints,covariance,5,speedup_over
DOUBLE,c,AllHints,deriche,1,speedup_over
DOUBLE,c,AllHints,deriche,2,speedup_over
DOUBLE,c,AllHints,deriche,3,speedup_over
DOUBLE,c,AllHints,deriche,4,speedup_over
DOUBLE,c,AllHints,deriche,5,speedup_over
DOUBLE,c,AllHints,doitgen,1,speedup_over
DOUBLE,c,AllHints,doitgen,2,speedup_over
DOUBLE,c,AllHints,doitgen,3,speedup_over
DOUBLE,c,AllHints,doitgen,4,speedup_over
DOUBLE,c,AllHints,doitgen,5,speedup_over
DOUBLE,c,AllHints,durbin,1,slowdown
DOUBLE,c,AllHints,durbin,2,invalid_code
DOUBLE,c,AllHints,durbin,3,slowdown
DOUBLE,c,AllHints,durbin,4,speedup_over
DOUBLE,c,AllHints,durbin,5,speedup_over
DOUBLE,c,AllHints,fdtd-2d,1,slowdown
DOUBLE,c,AllHints,fdtd-2d,2,slowdown
DOUBLE,c,AllHints,fdtd-2d,3,invalid_algorithm
DOUBLE,c,AllHints,fdtd-2d,4,slowdown
DOUBLE,c,AllHints,fdtd-2d,5,invalid_code
DOUBLE,c,AllHints,gemver,1,speedup_over
DOUBLE,c,AllHints,gemver,2,slowdown
DOUBLE,c,AllHints,gemver,3,speedup_over
DOUBLE,c,AllHints,gemver,4,speedup_under
DOUBLE,c,AllHints,gemver,5,speedup_over
DOUBLE,c,AllHints,gesummv,1,speedup_over
DOUBLE,c,AllHints,gesummv,2,speedup_over
DOUBLE,c,AllHints,gesummv,3,speedup_over
DOUBLE,c,AllHints,gesummv,4,speedup_over
DOUBLE,c,AllHints,gesummv,5,speedup_over
DOUBLE,c,AllHints,gramschmidt,1,invalid_algorithm
DOUBLE,c,AllHints,gramschmidt,2,invalid_algorithm
DOUBLE,c,AllHints,gramschmidt,3,invalid_algorithm
DOUBLE,c,AllHints,gramschmidt,4,invalid_algorithm
DOUBLE,c,AllHints,gramschmidt,5,invalid_algorithm
DOUBLE,c,AllHints,jacobi-1d,1,slowdown
DOUBLE,c,AllHints,jacobi-1d,2,slowdown
DOUBLE,c,AllHints,jacobi-1d,3,invalid_code
DOUBLE,c,AllHints,jacobi-1d,4,slowdown
DOUBLE,c,AllHints,jacobi-1d,5,slowdown
DOUBLE,c,AllHints,jacobi-2d,1,slowdown
DOUBLE,c,AllHints,jacobi-2d,2,speedup_under
DOUBLE,c,AllHints,jacobi-2d,3,speedup_over
DOUBLE,c,AllHints,jacobi-2d,4,speedup_over
DOUBLE,c,AllHints,jacobi-2d,5,speedup_over
DOUBLE,c,AllHints,lu,1,speedup_over
DOUBLE,c,AllHints,lu,2,speedup_over
