framework,version,algorithm,run,time_s,repetition,dataset_size
c,standard,covariance,1,1.540530,1,LARGE
c,standard,covariance,2,1.535453,1,LARGE
c,standard,covariance,3,1.535633,1,LARGE
c,standard,covariance,4,1.535311,1,LARGE
c,standard,covariance,5,1.538399,1,LARGE
c,standard,correlation,1,1.540942,1,LARGE
c,standard,correlation,2,1.535775,1,LARGE
c,standard,correlation,3,1.534211,1,LARGE
c,standard,correlation,4,1.534691,1,LARGE
c,standard,correlation,5,1.534685,1,LARGE
c,standard,trisolv,1,0.002913,1,LARGE
c,standard,trisolv,2,0.002891,1,LARGE
c,standard,trisolv,3,0.002917,1,LARGE
c,standard,trisolv,4,0.002900,1,LARGE
c,standard,trisolv,5,0.002884,1,LARGE
c,standard,jacobi-1d,1,0.001628,1,LARGE
c,standard,jacobi-1d,2,0.001622,1,LARGE
c,standard,jacobi-1d,3,0.001622,1,LARGE
c,standard,jacobi-1d,4,0.001622,1,LARGE
c,standard,jacobi-1d,5,0.001629,1,LARGE
c,standard,bicg,1,0.012976,1,LARGE
c,standard,bicg,2,0.012988,1,LARGE
c,standard,bicg,3,0.024583,1,LARGE
c,standard,bicg,4,0.022846,1,LARGE
c,standard,bicg,5,0.012942,1,LARGE
c,standard,durbin,1,0.004050,1,LARGE
c,standard,durbin,2,0.004059,1,LARGE
c,standard,durbin,3,0.004061,1,LARGE
c,standard,durbin,4,0.004064,1,LARGE
c,standard,durbin,5,0.004075,1,LARGE
c,standard,mvt,1,0.011845,1,LARGE
c,standard,mvt,2,0.011986,1,LARGE
c,standard,mvt,3,0.011988,1,LARGE
c,standard,mvt,4,0.011887,1,LARGE
c,standard,mvt,5,0.011903,1,LARGE
c,standard,gesummv,1,0.005532,1,LARGE
c,standard,gesummv,2,0.005497,1,LARGE
c,standard,gesummv,3,0.005537,1,LARGE
c,standard,gesummv,4,0.005539,1,LARGE
c,standard,gesummv,5,0.005499,1,LARGE
c,standard,seidel-2d,1,25.024131,1,LARGE
c,standard,seidel-2d,2,25.024226,1,LARGE
c,standard,seidel-2d,3,25.024334,1,LARGE
c,standard,seidel-2d,4,25.023509,1,LARGE
c,standard,seidel-2d,5,25.023515,1,LARGE
c,standard,syrk,1,0.454634,1,LARGE
c,standard,syrk,2,0.451115,1,LARGE
c,standard,syrk,3,0.451105,1,LARGE
c,standard,syrk,4,0.454657,1,LARGE
c,standard,syrk,5,0.451198,1,LARGE
c,standard,atax,1,0.006539,1,LARGE
c,standard,atax,2,0.006571,1,LARGE
c,standard,atax,3,0.006555,1,LARGE
c,standard,atax,4,0.006553,1,LARGE
c,standard,atax,5,0.006510,1,LARGE
c,standard,floyd-warshall,1,24.686893,1,LARGE
c,standard,floyd-warshall,2,24.614550,1,LARGE
c,standard,floyd-warshall,3,24.659005,1,LARGE
c,standard,floyd-warshall,4,24.609204,1,LARGE
c,standard,floyd-warshall,5,24.657413,1,LARGE
c,standard,gemm,1,0.269879,1,LARGE
c,standard,gemm,2,0.267097,1,LARGE
c,standard,gemm,3,0.262328,1,LARGE
c,standard,gemm,4,0.263164,1,LARGE
c,standard,gemm,5,0.265213,1,LARGE
c,standard,jacobi-2d,1,0.824259,1,LARGE
c,standard,jacobi-2d,2,0.818607,1,LARGE
c,standard,jacobi-2d,3,0.827135,1,LARGE
c,standard,jacobi-2d,4,0.816028,1,LARGE
c,standard,jacobi-2d,5,0.816139,1,LARGE
c,standard,adi,1,11.474746,1,LARGE
c,standard,adi,2,11.499026,1,LARGE
c,standard,adi,3,11.496618,1,LARGE
c,standard,adi,4,11.489638,1,LARGE
c,standard,adi,5,11.510984,1,LARGE
c,standard,cholesky,1,1.907476,1,LARGE
c,standard,cholesky,2,1.906083,1,LARGE
c,standard,cholesky,3,1.906428,1,LARGE
c,standard,cholesky,4,1.906201,1,LARGE
c,standard,cholesky,5,1.905175,1,LARGE
c,standard,trmm,1,0.879372,1,LARGE
c,standard,trmm,2,0.882776,1,LARGE
c,standard,trmm,3,0.882834,1,LARGE
c,standard,trmm,4,0.881597,1,LARGE
c,standard,trmm,5,0.881503,1,LARGE
c,standard,3mm,1,3.925415,1,LARGE
c,standard,3mm,2,3.903573,1,LARGE
c,standard,3mm,3,3.930507,1,LARGE
c,standard,3mm,4,3.925205,1,LARGE
c,standard,3mm,5,3.928282,1,LARGE
c,standard,doitgen,1,0.716624,1,LARGE
c,standard,doitgen,2,0.721773,1,LARGE
c,standard,doitgen,3,0.721745,1,LARGE
c,standard,doitgen,4,0.721782,1,LARGE
c,standard,doitgen,5,0.721736,1,LARGE
c,standard,gemver,1,0.012907,1,LARGE
c,standard,gemver,2,0.012897,1,LARGE
c,standard,gemver,3,0.013200,1,LARGE
c,standard,gemver,4,0.013313,1,LARGE
c,standard,gemver,5,0.013176,1,LARGE
c,standard,lu,1,3.983009,1,LARGE
c,standard,lu,2,3.976600,1,LARGE
c,standard,lu,3,3.980740,1,LARGE
c,standard,lu,4,3.978493,1,LARGE
c,standard,lu,5,3.976749,1,LARGE
c,standard,2mm,1,2.452979,1,LARGE
c,standard,2mm,2,2.475627,1,LARGE
c,standard,2mm,3,2.468627,1,LARGE
c,standard,2mm,4,2.474911,1,LARGE
c,standard,2mm,5,2.467903,1,LARGE
c,standard,deriche,1,0.214212,1,LARGE
c,standard,deriche,2,0.214221,1,LARGE
c,standard,deriche,3,0.213816,1,LARGE
c,standard,deriche,4,0.214037,1,LARGE
c,standard,deriche,5,0.214486,1,LARGE
c,standard,gramschmidt,1,2.175163,1,LARGE
c,standard,gramschmidt,2,2.169253,1,LARGE
c,standard,gramschmidt,3,2.172928,1,LARGE
c,standard,gramschmidt,4,2.171001,1,LARGE
c,standard,gramschmidt,5,2.171333,1,LARGE
c,standard,fdtd-2d,1,0.768562,1,LARGE
c,standard,fdtd-2d,2,0.768443,1,LARGE
c,standard,fdtd-2d,3,0.771345,1,LARGE
c,standard,fdtd-2d,4,0.763830,1,LARGE
c,standard,fdtd-2d,5,0.770687,1,LARGE
c,standard,heat-3d,1,1.524430,1,LARGE
c,standard,heat-3d,2,1.529765,1,LARGE
c,standard,heat-3d,3,1.531913,1,LARGE
c,standard,heat-3d,4,1.526054,1,LARGE
c,standard,heat-3d,5,1.526418,1,LARGE
c,standard,syr2k,1,1.000710,1,LARGE
c,standard,syr2k,2,1.000955,1,LARGE
c,standard,syr2k,3,1.000938,1,LARGE
c,standard,syr2k,4,1.005151,1,LARGE
c,standard,syr2k,5,1.005160,1,LARGE
c,standard,nussinov,1,7.199568,1,LARGE
c,standard,nussinov,2,7.197990,1,LARGE
c,standard,nussinov,3,7.160005,1,LARGE
c,standard,nussinov,4,7.162426,1,LARGE
c,standard,nussinov,5,7.187518,1,LARGE
c,standard,ludcmp,1,4.002286,1,LARGE
c,standard,ludcmp,2,3.983813,1,LARGE
c,standard,ludcmp,3,3.983565,1,LARGE
c,standard,ludcmp,4,3.983599,1,LARGE
c,standard,ludcmp,5,4.000684,1,LARGE
c,standard,symm,1,1.171500,1,LARGE
c,standard,symm,2,1.199604,1,LARGE
c,standard,symm,3,1.195093,1,LARGE
c,standard,symm,4,1.195093,1,LARGE
c,standard,symm,5,1.203770,1,LARGE
noarr,standard,jacobi-1d,1,0.000497,1,LARGE
noarr,standard,jacobi-1d,2,0.000489,1,LARGE
noarr,standard,jacobi-1d,3,0.000503,1,LARGE
noarr,standard,jacobi-1d,4,0.000497,1,LARGE
noarr,standard,jacobi-1d,5,0.000504,1,LARGE
noarr,standard,durbin,1,0.004080,1,LARGE
noarr,standard,durbin,2,0.004081,1,LARGE
noarr,standard,durbin,3,0.004075,1,LARGE
noarr,standard,durbin,4,0.004075,1,LARGE
noarr,standard,durbin,5,0.004074,1,LARGE
noarr,standard,trisolv,1,0.002921,1,LARGE
noarr,standard,trisolv,2,0.002900,1,LARGE
noarr,standard,trisolv,3,0.002916,1,LARGE
noarr,standard,trisolv,4,0.002888,1,LARGE
noarr,standard,trisolv,5,0.002911,1,LARGE
noarr,standard,gesummv,1,0.005514,1,LARGE
noarr,standard,gesummv,2,0.005493,1,LARGE
noarr,standard,gesummv,3,0.005474,1,LARGE
noarr,standard,gesummv,4,0.005516,1,LARGE
noarr,standard,gesummv,5,0.005477,1,LARGE
noarr,standard,bicg,1,0.012948,1,LARGE
noarr,standard,bicg,2,0.012950,1,LARGE
noarr,standard,bicg,3,0.012952,1,LARGE
noarr,standard,bicg,4,0.012927,1,LARGE
noarr,standard,bicg,5,0.012964,1,LARGE
noarr,standard,jacobi-2d,1,0.824751,1,LARGE
noarr,standard,jacobi-2d,2,0.822383,1,LARGE
noarr,standard,jacobi-2d,3,0.830627,1,LARGE
noarr,standard,jacobi-2d,4,0.821164,1,LARGE
noarr,standard,jacobi-2d,5,0.829499,1,LARGE
noarr,standard,atax,1,0.006610,1,LARGE
noarr,standard,atax,2,0.006638,1,LARGE
noarr,standard,atax,3,0.006644,1,LARGE
noarr,standard,atax,4,0.006608,1,LARGE
noarr,standard,atax,5,0.006680,1,LARGE
noarr,standard,mvt,1,0.012125,1,LARGE
noarr,standard,mvt,2,0.011883,1,LARGE
noarr,standard,mvt,3,0.011788,1,LARGE
noarr,standard,mvt,4,0.011908,1,LARGE
noarr,standard,mvt,5,0.011789,1,LARGE
noarr,standard,seidel-2d,1,25.021548,1,LARGE
noarr,standard,seidel-2d,2,25.020032,1,LARGE
noarr,standard,seidel-2d,3,25.019026,1,LARGE
noarr,standard,seidel-2d,4,25.018646,1,LARGE
noarr,standard,seidel-2d,5,25.019340,1,LARGE
noarr,standard,floyd-warshall,1,24.637524,1,LARGE
noarr,standard,floyd-warshall,2,24.632318,1,LARGE
noarr,standard,floyd-warshall,3,24.641267,1,LARGE
noarr,standard,floyd-warshall,4,24.644236,1,LARGE
noarr,standard,floyd-warshall,5,24.647890,1,LARGE
noarr,standard,cholesky,1,1.905801,1,LARGE
noarr,standard,cholesky,2,1.905831,1,LARGE
noarr,standard,cholesky,3,1.906005,1,LARGE
noarr,standard,cholesky,4,1.905972,1,LARGE
noarr,standard,cholesky,5,1.903553,1,LARGE
noarr,standard,nussinov,1,,1,LARGE
noarr,standard,nussinov,2,,1,LARGE
noarr,standard,nussinov,3,,1,LARGE
noarr,standard,nussinov,4,,1,LARGE
noarr,standard,nussinov,5,,1,LARGE
noarr,standard,gemver,1,0.013213,1,LARGE
noarr,standard,gemver,2,0.013250,1,LARGE
noarr,standard,gemver,3,0.013074,1,LARGE
noarr,standard,gemver,4,0.013089,1,LARGE
noarr,standard,gemver,5,0.013028,1,LARGE
noarr,standard,deriche,1,0.195508,1,LARGE
noarr,standard,deriche,2,0.195350,1,LARGE
noarr,standard,deriche,3,0.195011,1,LARGE
noarr,standard,deriche,4,0.195139,1,LARGE
noarr,standard,deriche,5,0.195130,1,LARGE
noarr,standard,syrk,1,0.452186,1,LARGE
noarr,standard,syrk,2,0.452460,1,LARGE
noarr,standard,syrk,3,0.452195,1,LARGE
noarr,standard,syrk,4,0.457072,1,LARGE
noarr,standard,syrk,5,0.457054,1,LARGE
noarr,standard,heat-3d,1,1.559824,1,LARGE
noarr,standard,heat-3d,2,1.556277,1,LARGE
noarr,standard,heat-3d,3,1.558177,1,LARGE
noarr,standard,heat-3d,4,1.560159,1,LARGE
noarr,standard,heat-3d,5,1.560014,1,LARGE
noarr,standard,trmm,1,0.127495,1,LARGE
noarr,standard,trmm,2,0.125755,1,LARGE
noarr,standard,trmm,3,0.131905,1,LARGE
noarr,standard,trmm,4,0.131967,1,LARGE
noarr,standard,trmm,5,0.126736,1,LARGE
noarr,standard,symm,1,1.237342,1,LARGE
noarr,standard,symm,2,1.232866,1,LARGE
noarr,standard,symm,3,1.234254,1,LARGE
noarr,standard,symm,4,1.241975,1,LARGE
noarr,standard,symm,5,1.235653,1,LARGE
noarr,standard,adi,1,12.799361,1,LARGE
noarr,standard,adi,2,12.759619,1,LARGE
noarr,standard,adi,3,12.817620,1,LARGE
noarr,standard,adi,4,12.830640,1,LARGE
noarr,standard,adi,5,12.821109,1,LARGE
noarr,standard,correlation,1,1.519536,1,LARGE
noarr,standard,correlation,2,1.519156,1,LARGE
noarr,standard,correlation,3,1.527229,1,LARGE
noarr,standard,correlation,4,1.527243,1,LARGE
noarr,standard,correlation,5,1.519417,1,LARGE
noarr,standard,covariance,1,1.518892,1,LARGE
noarr,standard,covariance,2,1.518535,1,LARGE
noarr,standard,covariance,3,1.526712,1,LARGE
noarr,standard,covariance,4,1.518809,1,LARGE
noarr,standard,covariance,5,1.526552,1,LARGE
noarr,standard,gramschmidt,1,2.174874,1,LARGE
noarr,standard,gramschmidt,2,2.180024,1,LARGE
noarr,standard,gramschmidt,3,2.174440,1,LARGE
noarr,standard,gramschmidt,4,2.174091,1,LARGE
noarr,standard,gramschmidt,5,2.174882,1,LARGE
noarr,standard,syr2k,1,1.118180,1,LARGE
noarr,standard,syr2k,2,1.121048,1,LARGE
noarr,standard,syr2k,3,1.121279,1,LARGE
noarr,standard,syr2k,4,1.118727,1,LARGE
noarr,standard,syr2k,5,1.117111,1,LARGE
noarr,standard,ludcmp,1,3.999522,1,LARGE
noarr,standard,ludcmp,2,3.961941,1,LARGE
noarr,standard,ludcmp,3,3.997442,1,LARGE
noarr,standard,ludcmp,4,3.961580,1,LARGE
noarr,standard,ludcmp,5,3.961719,1,LARGE
noarr,standard,fdtd-2d,1,0.771852,1,LARGE
noarr,standard,fdtd-2d,2,0.770607,1,LARGE
noarr,standard,fdtd-2d,3,0.770398,1,LARGE
noarr,standard,fdtd-2d,4,0.771199,1,LARGE
noarr,standard,fdtd-2d,5,0.769110,1,LARGE
noarr,standard,gemm,1,0.266663,1,LARGE
