framework,version,algorithm,run,time_s,repetition,dataset_size
c,standard,covariance,1,0.010820,1,MEDIUM
c,standard,covariance,2,0.010755,1,MEDIUM
c,standard,covariance,3,0.010803,1,MEDIUM
c,standard,covariance,4,0.010721,1,MEDIUM
c,standard,covariance,5,0.010720,1,MEDIUM
c,standard,trisolv,1,0.000110,1,MEDIUM
c,standard,trisolv,2,0.000116,1,MEDIUM
c,standard,trisolv,3,0.000117,1,MEDIUM
c,standard,trisolv,4,0.000111,1,MEDIUM
c,standard,trisolv,5,0.000111,1,MEDIUM
c,standard,correlation,1,0.010764,1,MEDIUM
c,standard,correlation,2,0.010766,1,MEDIUM
c,standard,correlation,3,0.010668,1,MEDIUM
c,standard,correlation,4,0.010730,1,MEDIUM
c,standard,correlation,5,0.010663,1,MEDIUM
c,standard,floyd-warshall,1,0.137553,1,MEDIUM
c,standard,floyd-warshall,2,0.137627,1,MEDIUM
c,standard,floyd-warshall,3,0.137674,1,MEDIUM
c,standard,floyd-warshall,4,0.137608,1,MEDIUM
c,standard,floyd-warshall,5,0.137737,1,MEDIUM
c,standard,adi,1,0.089230,1,MEDIUM
c,standard,adi,2,0.089227,1,MEDIUM
c,standard,adi,3,0.090009,1,MEDIUM
c,standard,adi,4,0.089201,1,MEDIUM
c,standard,adi,5,0.089274,1,MEDIUM
c,standard,seidel-2d,1,0.196356,1,MEDIUM
c,standard,seidel-2d,2,0.196370,1,MEDIUM
c,standard,seidel-2d,3,0.196366,1,MEDIUM
c,standard,seidel-2d,4,0.196396,1,MEDIUM
c,standard,seidel-2d,5,0.196103,1,MEDIUM
c,standard,bicg,1,0.000528,1,MEDIUM
c,standard,bicg,2,0.000510,1,MEDIUM
c,standard,bicg,3,0.000516,1,MEDIUM
c,standard,bicg,4,0.000520,1,MEDIUM
c,standard,bicg,5,0.000511,1,MEDIUM
c,standard,gesummv,1,0.000199,1,MEDIUM
c,standard,gesummv,2,0.000199,1,MEDIUM
c,standard,gesummv,3,0.000199,1,MEDIUM
c,standard,gesummv,4,0.000199,1,MEDIUM
c,standard,gesummv,5,0.000198,1,MEDIUM
c,standard,durbin,1,0.000181,1,MEDIUM
c,standard,durbin,2,0.000181,1,MEDIUM
c,standard,durbin,3,0.000182,1,MEDIUM
c,standard,durbin,4,0.000181,1,MEDIUM
c,standard,durbin,5,0.000181,1,MEDIUM
c,standard,jacobi-1d,1,0.000065,1,MEDIUM
c,standard,jacobi-1d,2,0.000061,1,MEDIUM
c,standard,jacobi-1d,3,0.000065,1,MEDIUM
c,standard,jacobi-1d,4,0.000065,1,MEDIUM
c,standard,jacobi-1d,5,0.000065,1,MEDIUM
c,standard,mvt,1,0.000453,1,MEDIUM
c,standard,mvt,2,0.000443,1,MEDIUM
c,standard,mvt,3,0.000445,1,MEDIUM
c,standard,mvt,4,0.000445,1,MEDIUM
c,standard,mvt,5,0.000451,1,MEDIUM
c,standard,gemm,1,0.001966,1,MEDIUM
c,standard,gemm,2,0.001968,1,MEDIUM
c,standard,gemm,3,0.001968,1,MEDIUM
c,standard,gemm,4,0.001975,1,MEDIUM
c,standard,gemm,5,0.001974,1,MEDIUM
c,standard,cholesky,1,0.013920,1,MEDIUM
c,standard,cholesky,2,0.013920,1,MEDIUM
