framework,version,algorithm,run,time_s,repetition,dataset_size
c,standard,covariance,1,0.000451,1,SMALL
c,standard,covariance,2,0.000460,1,SMALL
c,standard,covariance,3,0.000451,1,SMALL
c,standard,covariance,4,0.000451,1,SMALL
c,standard,covariance,5,0.000457,1,SMALL
c,standard,atax,1,0.000024,1,SMALL
c,standard,atax,2,0.000024,1,SMALL
c,standard,atax,3,0.000023,1,SMALL
c,standard,atax,4,0.000023,1,SMALL
c,standard,atax,5,0.000023,1,SMALL
c,standard,trisolv,1,0.000009,1,SMALL
c,standard,trisolv,2,0.000009,1,SMALL
c,standard,trisolv,3,0.000009,1,SMALL
c,standard,trisolv,4,0.000009,1,SMALL
c,standard,trisolv,5,0.000009,1,SMALL
c,standard,jacobi-1d,1,0.000008,1,SMALL
c,standard,jacobi-1d,2,0.000008,1,SMALL
c,standard,jacobi-1d,3,0.000016,1,SMALL
c,standard,jacobi-1d,4,0.000008,1,SMALL
c,standard,jacobi-1d,5,0.000008,1,SMALL
c,standard,correlation,1,0.000455,1,SMALL
c,standard,correlation,2,0.000460,1,SMALL
c,standard,correlation,3,0.000447,1,SMALL
c,standard,correlation,4,0.000451,1,SMALL
c,standard,correlation,5,0.000460,1,SMALL
c,standard,seidel-2d,1,0.006639,1,SMALL
c,standard,seidel-2d,2,0.006637,1,SMALL
c,standard,seidel-2d,3,0.006638,1,SMALL
c,standard,seidel-2d,4,0.006625,1,SMALL
c,standard,seidel-2d,5,0.006637,1,SMALL
c,standard,bicg,1,0.000052,1,SMALL
c,standard,bicg,2,0.000045,1,SMALL
c,standard,bicg,3,0.000045,1,SMALL
c,standard,bicg,4,0.000045,1,SMALL
c,standard,bicg,5,0.000045,1,SMALL
c,standard,floyd-warshall,1,0.006655,1,SMALL
c,standard,floyd-warshall,2,0.006644,1,SMALL
c,standard,floyd-warshall,3,0.006643,1,SMALL
c,standard,floyd-warshall,4,0.006638,1,SMALL
c,standard,floyd-warshall,5,0.006645,1,SMALL
c,standard,cholesky,1,0.000319,1,SMALL
c,standard,cholesky,2,0.000312,1,SMALL
c,standard,cholesky,3,0.000320,1,SMALL
c,standard,cholesky,4,0.000308,1,SMALL
c,standard,cholesky,5,0.000308,1,SMALL
c,standard,gesummv,1,0.000025,1,SMALL
c,standard,gesummv,2,0.000025,1,SMALL
c,standard,gesummv,3,0.000025,1,SMALL
c,standard,gesummv,4,0.000112,1,SMALL
c,standard,gesummv,5,0.000025,1,SMALL
c,standard,durbin,1,0.000017,1,SMALL
c,standard,durbin,2,0.000016,1,SMALL
c,standard,durbin,3,0.000016,1,SMALL
c,standard,durbin,4,0.000016,1,SMALL
c,standard,durbin,5,0.000016,1,SMALL
c,standard,deriche,1,0.000631,1,SMALL
c,standard,deriche,2,0.000620,1,SMALL
c,standard,deriche,3,0.000626,1,SMALL
c,standard,deriche,4,0.000629,1,SMALL
c,standard,deriche,5,0.000598,1,SMALL
c,standard,mvt,1,0.000036,1,SMALL
c,standard,mvt,2,0.000037,1,SMALL
c,standard,mvt,3,0.000036,1,SMALL
c,standard,mvt,4,0.000037,1,SMALL
c,standard,mvt,5,0.000073,1,SMALL
c,standard,adi,1,0.002950,1,SMALL
c,standard,adi,2,0.002982,1,SMALL
c,standard,adi,3,0.002949,1,SMALL
c,standard,adi,4,0.002946,1,SMALL
c,standard,adi,5,0.002950,1,SMALL
c,standard,gemver,1,0.000042,1,SMALL
c,standard,gemver,2,0.000042,1,SMALL
c,standard,gemver,3,0.000057,1,SMALL
c,standard,gemver,4,0.000041,1,SMALL
c,standard,gemver,5,0.000043,1,SMALL
c,standard,jacobi-2d,1,0.000306,1,SMALL
c,standard,jacobi-2d,2,0.000305,1,SMALL
c,standard,jacobi-2d,3,0.000298,1,SMALL
