framework,version,algorithm,run,time_s,repetition,dataset_size
c,standard,2mm,1,2.589009,1,LARGE
c,standard,2mm,2,2.588697,1,LARGE
c,standard,2mm,3,2.572616,1,LARGE
c,standard,2mm,4,2.606753,1,LARGE
c,standard,2mm,5,2.580816,1,LARGE
c,standard,3mm,1,3.917756,1,LARGE
c,standard,3mm,2,3.922054,1,LARGE
c,standard,3mm,3,3.893001,1,LARGE
c,standard,3mm,4,3.891307,1,LARGE
c,standard,3mm,5,3.917121,1,LARGE
c,standard,adi,1,10.386862,1,LARGE
c,standard,adi,2,10.347084,1,LARGE
c,standard,adi,3,10.423294,1,LARGE
c,standard,adi,4,10.425841,1,LARGE
c,standard,adi,5,10.382481,1,LARGE
c,standard,atax,1,0.008699,1,LARGE
c,standard,atax,2,0.008590,1,LARGE
c,standard,atax,3,0.008578,1,LARGE
c,standard,atax,4,0.008595,1,LARGE
c,standard,atax,5,0.008577,1,LARGE
c,standard,bicg,1,0.014571,1,LARGE
c,standard,bicg,2,0.014646,1,LARGE
c,standard,bicg,3,0.014649,1,LARGE
c,standard,bicg,4,0.014653,1,LARGE
c,standard,bicg,5,0.014625,1,LARGE
c,standard,cholesky,1,1.905797,1,LARGE
c,standard,cholesky,2,1.903895,1,LARGE
c,standard,cholesky,3,1.904771,1,LARGE
c,standard,cholesky,4,1.901924,1,LARGE
c,standard,cholesky,5,1.905806,1,LARGE
c,standard,correlation,1,1.694792,1,LARGE
c,standard,correlation,2,1.722137,1,LARGE
c,standard,correlation,3,1.709390,1,LARGE
c,standard,correlation,4,1.712984,1,LARGE
c,standard,correlation,5,1.706716,1,LARGE
c,standard,covariance,1,1.691753,1,LARGE
c,standard,covariance,2,1.700314,1,LARGE
c,standard,covariance,3,1.696631,1,LARGE
c,standard,covariance,4,1.710739,1,LARGE
c,standard,covariance,5,1.693830,1,LARGE
c,standard,deriche,1,0.226671,1,LARGE
c,standard,deriche,2,0.223531,1,LARGE
c,standard,deriche,3,0.223411,1,LARGE
c,standard,deriche,4,0.225913,1,LARGE
c,standard,deriche,5,0.223226,1,LARGE
c,standard,doitgen,1,0.742769,1,LARGE
c,standard,doitgen,2,0.745207,1,LARGE
c,standard,doitgen,3,0.742428,1,LARGE
c,standard,doitgen,4,0.742014,1,LARGE
c,standard,doitgen,5,0.745086,1,LARGE
c,standard,durbin,1,0.003819,1,LARGE
c,standard,durbin,2,0.003818,1,LARGE
c,standard,durbin,3,0.003844,1,LARGE
c,standard,durbin,4,0.003970,1,LARGE
c,standard,durbin,5,0.004054,1,LARGE
c,standard,fdtd-2d,1,1.784692,1,LARGE
c,standard,fdtd-2d,2,1.725152,1,LARGE
c,standard,fdtd-2d,3,1.728210,1,LARGE
c,standard,fdtd-2d,4,1.772569,1,LARGE
c,standard,fdtd-2d,5,1.794788,1,LARGE
c,standard,floyd-warshall,1,22.658678,1,LARGE
c,standard,floyd-warshall,2,22.636095,1,LARGE
c,standard,floyd-warshall,3,22.620020,1,LARGE
c,standard,floyd-warshall,4,22.733225,1,LARGE
c,standard,floyd-warshall,5,22.601241,1,LARGE
c,standard,gemm,1,0.445243,1,LARGE
c,standard,gemm,2,0.449247,1,LARGE
c,standard,gemm,3,0.448968,1,LARGE
c,standard,gemm,4,0.446933,1,LARGE
c,standard,gemm,5,0.447891,1,LARGE
c,standard,gemver,1,0.017437,1,LARGE
c,standard,gemver,2,0.017463,1,LARGE
c,standard,gemver,3,0.017510,1,LARGE
c,standard,gemver,4,0.017619,1,LARGE
c,standard,gemver,5,0.017496,1,LARGE
c,standard,gesummv,1,0.006287,1,LARGE
c,standard,gesummv,2,0.006235,1,LARGE
c,standard,gesummv,3,0.006207,1,LARGE
c,standard,gesummv,4,0.006247,1,LARGE
c,standard,gesummv,5,0.006273,1,LARGE
c,standard,gramschmidt,1,2.508700,1,LARGE
c,standard,gramschmidt,2,2.515142,1,LARGE
c,standard,gramschmidt,3,2.503123,1,LARGE
c,standard,gramschmidt,4,2.503450,1,LARGE
c,standard,gramschmidt,5,2.502541,1,LARGE
c,standard,heat-3d,1,1.928290,1,LARGE
c,standard,heat-3d,2,1.934786,1,LARGE
c,standard,heat-3d,3,1.937012,1,LARGE
c,standard,heat-3d,4,1.945245,1,LARGE
c,standard,heat-3d,5,1.934523,1,LARGE
c,standard,jacobi-1d,1,0.000935,1,LARGE
c,standard,jacobi-1d,2,0.001035,1,LARGE
c,standard,jacobi-1d,3,0.000950,1,LARGE
c,standard,jacobi-1d,4,0.000937,1,LARGE
c,standard,jacobi-1d,5,0.000942,1,LARGE
c,standard,jacobi-2d,1,1.645966,1,LARGE
c,standard,jacobi-2d,2,1.654277,1,LARGE
c,standard,jacobi-2d,3,1.659172,1,LARGE
c,standard,jacobi-2d,4,1.648362,1,LARGE
c,standard,jacobi-2d,5,1.672351,1,LARGE
c,standard,lu,1,4.447610,1,LARGE
c,standard,lu,2,4.449486,1,LARGE
c,standard,lu,3,4.447788,1,LARGE
c,standard,lu,4,4.413133,1,LARGE
c,standard,lu,5,4.396381,1,LARGE
c,standard,ludcmp,1,4.401572,1,LARGE
c,standard,ludcmp,2,4.404865,1,LARGE
c,standard,ludcmp,3,4.366666,1,LARGE
c,standard,ludcmp,4,4.362762,1,LARGE
c,standard,ludcmp,5,4.406348,1,LARGE
c,standard,mvt,1,0.014495,1,LARGE
c,standard,mvt,2,0.014630,1,LARGE
c,standard,mvt,3,0.014498,1,LARGE
c,standard,mvt,4,0.014628,1,LARGE
c,standard,mvt,5,0.014528,1,LARGE
c,standard,nussinov,1,7.723645,1,LARGE
c,standard,nussinov,2,7.731504,1,LARGE
c,standard,nussinov,3,7.740255,1,LARGE
c,standard,nussinov,4,7.757241,1,LARGE
c,standard,nussinov,5,7.759004,1,LARGE
