framework,version,algorithm,run,time_s,repetition,dataset_size
tiramisu,standard,2mm,1,0.020241,1,MEDIUM
tiramisu,standard,2mm,2,0.019898,1,MEDIUM
tiramisu,standard,2mm,3,0.019754,1,MEDIUM
tiramisu,standard,2mm,4,0.019715,1,MEDIUM
tiramisu,standard,2mm,5,0.019676,1,MEDIUM
tiramisu,standard,3mm,1,0.030700,1,MEDIUM
tiramisu,standard,3mm,2,0.030361,1,MEDIUM
tiramisu,standard,3mm,3,0.030255,1,MEDIUM
tiramisu,standard,3mm,4,0.030257,1,MEDIUM
tiramisu,standard,3mm,5,0.030254,1,MEDIUM
tiramisu,standard,adi,1,0.107876,1,MEDIUM
tiramisu,standard,adi,2,0.107382,1,MEDIUM
tiramisu,standard,adi,3,0.107293,1,MEDIUM
tiramisu,standard,adi,4,0.107288,1,MEDIUM
tiramisu,standard,adi,5,0.107285,1,MEDIUM
tiramisu,standard,atax,1,0.000164,1,MEDIUM
tiramisu,standard,atax,2,0.000135,1,MEDIUM
tiramisu,standard,atax,3,0.000126,1,MEDIUM
tiramisu,standard,atax,4,0.000116,1,MEDIUM
tiramisu,standard,atax,5,0.000115,1,MEDIUM
tiramisu,standard,bicg,1,0.000162,1,MEDIUM
tiramisu,standard,bicg,2,0.000124,1,MEDIUM
tiramisu,standard,bicg,3,0.000100,1,MEDIUM
tiramisu,standard,bicg,4,0.000099,1,MEDIUM
tiramisu,standard,bicg,5,0.000100,1,MEDIUM
tiramisu,standard,cholesky,1,0.014733,1,MEDIUM
tiramisu,standard,cholesky,2,0.014771,1,MEDIUM
tiramisu,standard,cholesky,3,0.014631,1,MEDIUM
tiramisu,standard,cholesky,4,0.014620,1,MEDIUM
tiramisu,standard,cholesky,5,0.014627,1,MEDIUM
tiramisu,standard,correlation,1,0.010991,1,MEDIUM
tiramisu,standard,correlation,2,0.010977,1,MEDIUM
tiramisu,standard,correlation,3,0.010897,1,MEDIUM
tiramisu,standard,correlation,4,0.010878,1,MEDIUM
tiramisu,standard,correlation,5,0.010882,1,MEDIUM
tiramisu,standard,covariance,1,0.010954,1,MEDIUM
tiramisu,standard,covariance,2,0.010922,1,MEDIUM
tiramisu,standard,covariance,3,0.010812,1,MEDIUM
tiramisu,standard,covariance,4,0.010799,1,MEDIUM
tiramisu,standard,covariance,5,0.010810,1,MEDIUM
tiramisu,standard,deriche,1,0.008693,1,MEDIUM
tiramisu,standard,deriche,2,0.008133,1,MEDIUM
tiramisu,standard,deriche,3,0.008079,1,MEDIUM
tiramisu,standard,deriche,4,0.008054,1,MEDIUM
tiramisu,standard,deriche,5,0.008036,1,MEDIUM
tiramisu,standard,doitgen,1,0.004960,1,MEDIUM
tiramisu,standard,doitgen,2,0.004866,1,MEDIUM
tiramisu,standard,doitgen,3,0.004920,1,MEDIUM
tiramisu,standard,doitgen,4,0.004890,1,MEDIUM
tiramisu,standard,doitgen,5,0.004865,1,MEDIUM
tiramisu,standard,durbin,1,0.000111,1,MEDIUM
tiramisu,standard,durbin,2,0.000099,1,MEDIUM
tiramisu,standard,durbin,3,0.000096,1,MEDIUM
tiramisu,standard,durbin,4,0.000095,1,MEDIUM
tiramisu,standard,durbin,5,0.000094,1,MEDIUM
tiramisu,standard,fdtd-2d,1,0.011881,1,MEDIUM
tiramisu,standard,fdtd-2d,2,0.011930,1,MEDIUM
tiramisu,standard,fdtd-2d,3,0.011803,1,MEDIUM
tiramisu,standard,fdtd-2d,4,0.011761,1,MEDIUM
tiramisu,standard,fdtd-2d,5,0.011765,1,MEDIUM
tiramisu,standard,floyd-warshall,1,0.097297,1,MEDIUM
tiramisu,standard,floyd-warshall,2,0.097070,1,MEDIUM
tiramisu,standard,floyd-warshall,3,0.097076,1,MEDIUM
tiramisu,standard,floyd-warshall,4,0.097072,1,MEDIUM
tiramisu,standard,floyd-warshall,5,0.097042,1,MEDIUM
tiramisu,standard,gemm,1,0.004824,1,MEDIUM
tiramisu,standard,gemm,2,0.004837,1,MEDIUM
tiramisu,standard,gemm,3,0.004773,1,MEDIUM
tiramisu,standard,gemm,4,0.004880,1,MEDIUM
tiramisu,standard,gemm,5,0.004765,1,MEDIUM
tiramisu,standard,gemver,1,0.000534,1,MEDIUM
tiramisu,standard,gemver,2,0.000471,1,MEDIUM
tiramisu,standard,gemver,3,0.000440,1,MEDIUM
tiramisu,standard,gemver,4,0.000433,1,MEDIUM
tiramisu,standard,gemver,5,0.000499,1,MEDIUM
tiramisu,standard,gesummv,1,0.000086,1,MEDIUM
tiramisu,standard,gesummv,2,0.000056,1,MEDIUM
tiramisu,standard,gesummv,3,0.000045,1,MEDIUM
tiramisu,standard,gesummv,4,0.000045,1,MEDIUM
tiramisu,standard,gesummv,5,0.000045,1,MEDIUM
tiramisu,standard,gramschmidt,1,0.016742,1,MEDIUM
tiramisu,standard,gramschmidt,2,0.016469,1,MEDIUM
tiramisu,standard,gramschmidt,3,0.016474,1,MEDIUM
tiramisu,standard,gramschmidt,4,0.016352,1,MEDIUM
tiramisu,standard,gramschmidt,5,0.016343,1,MEDIUM
tiramisu,standard,heat-3d,1,0.019923,1,MEDIUM
tiramisu,standard,heat-3d,2,0.019691,1,MEDIUM
tiramisu,standard,heat-3d,3,0.019688,1,MEDIUM
tiramisu,standard,heat-3d,4,0.019675,1,MEDIUM
tiramisu,standard,heat-3d,5,0.019682,1,MEDIUM
tiramisu,standard,jacobi-1d,1,0.000053,1,MEDIUM
tiramisu,standard,jacobi-1d,2,0.000035,1,MEDIUM
tiramisu,standard,jacobi-1d,3,0.000036,1,MEDIUM
tiramisu,standard,jacobi-1d,4,0.000036,1,MEDIUM
tiramisu,standard,jacobi-1d,5,0.000035,1,MEDIUM
tiramisu,standard,jacobi-2d,1,0.013145,1,MEDIUM
tiramisu,standard,jacobi-2d,2,0.012915,1,MEDIUM
tiramisu,standard,jacobi-2d,3,0.012889,1,MEDIUM
tiramisu,standard,jacobi-2d,4,0.012886,1,MEDIUM
tiramisu,standard,jacobi-2d,5,0.012892,1,MEDIUM
tiramisu,standard,lu,1,0.029564,1,MEDIUM
tiramisu,standard,lu,2,0.029385,1,MEDIUM
tiramisu,standard,lu,3,0.029386,1,MEDIUM
tiramisu,standard,lu,4,0.029405,1,MEDIUM
tiramisu,standard,lu,5,0.029378,1,MEDIUM
tiramisu,standard,ludcmp,1,0.018270,1,MEDIUM
tiramisu,standard,ludcmp,2,0.018203,1,MEDIUM
tiramisu,standard,ludcmp,3,0.018132,1,MEDIUM
tiramisu,standard,ludcmp,4,0.018125,1,MEDIUM
tiramisu,standard,ludcmp,5,0.018131,1,MEDIUM
tiramisu,standard,mvt,1,0.000429,1,MEDIUM
tiramisu,standard,mvt,2,0.000389,1,MEDIUM
