framework,version,algorithm,run,time_s,repetition,dataset_size
tiramisu,standard,2mm,1,0.000010,1,MINI
tiramisu,standard,2mm,2,0.000003,1,MINI
tiramisu,standard,2mm,3,0.000003,1,MINI
tiramisu,standard,2mm,4,0.000002,1,MINI
tiramisu,standard,2mm,5,0.000002,1,MINI
tiramisu,standard,3mm,1,0.000016,1,MINI
tiramisu,standard,3mm,2,0.000008,1,MINI
tiramisu,standard,3mm,3,0.000004,1,MINI
tiramisu,standard,3mm,4,0.000004,1,MINI
tiramisu,standard,3mm,5,0.000004,1,MINI
tiramisu,standard,adi,1,0.000144,1,MINI
tiramisu,standard,adi,2,0.000139,1,MINI
tiramisu,standard,adi,3,0.000143,1,MINI
tiramisu,standard,adi,4,0.000137,1,MINI
tiramisu,standard,adi,5,0.000137,1,MINI
tiramisu,standard,atax,1,0.000005,1,MINI
tiramisu,standard,atax,2,0.000002,1,MINI
tiramisu,standard,atax,3,0.000002,1,MINI
tiramisu,standard,atax,4,0.000001,1,MINI
tiramisu,standard,atax,5,0.000001,1,MINI
tiramisu,standard,bicg,1,0.000004,1,MINI
tiramisu,standard,bicg,2,0.000001,1,MINI
tiramisu,standard,bicg,3,0.000001,1,MINI
tiramisu,standard,bicg,4,0.000001,1,MINI
tiramisu,standard,bicg,5,0.000001,1,MINI
tiramisu,standard,cholesky,1,0.000019,1,MINI
tiramisu,standard,cholesky,2,0.000014,1,MINI
tiramisu,standard,cholesky,3,0.000013,1,MINI
tiramisu,standard,cholesky,4,0.000013,1,MINI
tiramisu,standard,cholesky,5,0.000013,1,MINI
tiramisu,standard,correlation,1,0.000013,1,MINI
tiramisu,standard,correlation,2,0.000010,1,MINI
tiramisu,standard,correlation,3,0.000010,1,MINI
tiramisu,standard,correlation,4,0.000010,1,MINI
tiramisu,standard,correlation,5,0.000010,1,MINI
tiramisu,standard,covariance,1,0.000014,1,MINI
tiramisu,standard,covariance,2,0.000011,1,MINI
tiramisu,standard,covariance,3,0.000010,1,MINI
tiramisu,standard,covariance,4,0.000010,1,MINI
tiramisu,standard,covariance,5,0.000010,1,MINI
tiramisu,standard,deriche,1,0.000087,1,MINI
tiramisu,standard,deriche,2,0.000065,1,MINI
tiramisu,standard,deriche,3,0.000084,1,MINI
tiramisu,standard,deriche,4,0.000076,1,MINI
tiramisu,standard,deriche,5,0.000076,1,MINI
tiramisu,standard,doitgen,1,0.000006,1,MINI
tiramisu,standard,doitgen,2,0.000002,1,MINI
tiramisu,standard,doitgen,3,0.000002,1,MINI
tiramisu,standard,doitgen,4,0.000002,1,MINI
tiramisu,standard,doitgen,5,0.000002,1,MINI
tiramisu,standard,durbin,1,0.000006,1,MINI
tiramisu,standard,durbin,2,0.000002,1,MINI
tiramisu,standard,durbin,3,0.000002,1,MINI
tiramisu,standard,durbin,4,0.000002,1,MINI
tiramisu,standard,durbin,5,0.000002,1,MINI
tiramisu,standard,fdtd-2d,1,0.000041,1,MINI
tiramisu,standard,fdtd-2d,2,0.000025,1,MINI
tiramisu,standard,fdtd-2d,3,0.000025,1,MINI
