framework,version,algorithm,run,time_s,repetition,dataset_size
tiramisu,standard,2mm,1,0.000329,1,SMALL
tiramisu,standard,2mm,2,0.000308,1,SMALL
tiramisu,standard,2mm,3,0.000301,1,SMALL
tiramisu,standard,2mm,4,0.000301,1,SMALL
tiramisu,standard,2mm,5,0.000305,1,SMALL
tiramisu,standard,3mm,1,0.000550,1,SMALL
tiramisu,standard,3mm,2,0.000511,1,SMALL
tiramisu,standard,3mm,3,0.000516,1,SMALL
tiramisu,standard,3mm,4,0.000511,1,SMALL
tiramisu,standard,3mm,5,0.000515,1,SMALL
tiramisu,standard,adi,1,0.003580,1,SMALL
tiramisu,standard,adi,2,0.003570,1,SMALL
tiramisu,standard,adi,3,0.003507,1,SMALL
tiramisu,standard,adi,4,0.003521,1,SMALL
tiramisu,standard,adi,5,0.003511,1,SMALL
tiramisu,standard,atax,1,0.000017,1,SMALL
tiramisu,standard,atax,2,0.000008,1,SMALL
tiramisu,standard,atax,3,0.000008,1,SMALL
tiramisu,standard,atax,4,0.000008,1,SMALL
tiramisu,standard,atax,5,0.000008,1,SMALL
tiramisu,standard,bicg,1,0.000017,1,SMALL
tiramisu,standard,bicg,2,0.000007,1,SMALL
tiramisu,standard,bicg,3,0.000007,1,SMALL
tiramisu,standard,bicg,4,0.000007,1,SMALL
tiramisu,standard,bicg,5,0.000007,1,SMALL
tiramisu,standard,cholesky,1,0.000365,1,SMALL
tiramisu,standard,cholesky,2,0.000354,1,SMALL
tiramisu,standard,cholesky,3,0.000353,1,SMALL
tiramisu,standard,cholesky,4,0.000357,1,SMALL
tiramisu,standard,cholesky,5,0.000352,1,SMALL
tiramisu,standard,correlation,1,0.000484,1,SMALL
tiramisu,standard,correlation,2,0.000447,1,SMALL
tiramisu,standard,correlation,3,0.000481,1,SMALL
tiramisu,standard,correlation,4,0.000477,1,SMALL
tiramisu,standard,correlation,5,0.000445,1,SMALL
tiramisu,standard,covariance,1,0.000480,1,SMALL
tiramisu,standard,covariance,2,0.000471,1,SMALL
tiramisu,standard,covariance,3,0.000465,1,SMALL
tiramisu,standard,covariance,4,0.000471,1,SMALL
tiramisu,standard,covariance,5,0.000466,1,SMALL
tiramisu,standard,deriche,1,0.000610,1,SMALL
tiramisu,standard,deriche,2,0.000546,1,SMALL
tiramisu,standard,deriche,3,0.000557,1,SMALL
tiramisu,standard,deriche,4,0.000542,1,SMALL
tiramisu,standard,deriche,5,0.000549,1,SMALL
tiramisu,standard,doitgen,1,0.000142,1,SMALL
tiramisu,standard,doitgen,2,0.000130,1,SMALL
tiramisu,standard,doitgen,3,0.000121,1,SMALL
tiramisu,standard,doitgen,4,0.000121,1,SMALL
tiramisu,standard,doitgen,5,0.000120,1,SMALL
tiramisu,standard,durbin,1,0.000018,1,SMALL
tiramisu,standard,durbin,2,0.000015,1,SMALL
tiramisu,standard,durbin,3,0.000013,1,SMALL
tiramisu,standard,durbin,4,0.000011,1,SMALL
tiramisu,standard,durbin,5,0.000011,1,SMALL
tiramisu,standard,fdtd-2d,1,0.000449,1,SMALL
tiramisu,standard,fdtd-2d,2,0.000431,1,SMALL
tiramisu,standard,fdtd-2d,3,0.000424,1,SMALL
tiramisu,standard,fdtd-2d,4,0.000424,1,SMALL
tiramisu,standard,fdtd-2d,5,0.000431,1,SMALL
tiramisu,standard,floyd-warshall,1,0.004659,1,SMALL
tiramisu,standard,floyd-warshall,2,0.004564,1,SMALL
tiramisu,standard,floyd-warshall,3,0.004605,1,SMALL
tiramisu,standard,floyd-warshall,4,0.004537,1,SMALL
tiramisu,standard,floyd-warshall,5,0.004568,1,SMALL
tiramisu,standard,gemm,1,0.000102,1,SMALL
tiramisu,standard,gemm,2,0.000081,1,SMALL
tiramisu,standard,gemm,3,0.000081,1,SMALL
tiramisu,standard,gemm,4,0.000081,1,SMALL
tiramisu,standard,gemm,5,0.000081,1,SMALL
tiramisu,standard,gemver,1,0.000050,1,SMALL
tiramisu,standard,gemver,2,0.000027,1,SMALL
tiramisu,standard,gemver,3,0.000026,1,SMALL
tiramisu,standard,gemver,4,0.000026,1,SMALL
tiramisu,standard,gemver,5,0.000026,1,SMALL
