framework,version,algorithm,run,time_s,repetition,dataset_size
c,standard,2mm,1,0.021227,1,MEDIUM
c,standard,2mm,2,0.021238,1,MEDIUM
c,standard,2mm,3,0.021154,1,MEDIUM
c,standard,2mm,4,0.021213,1,MEDIUM
c,standard,2mm,5,0.021222,1,MEDIUM
c,standard,3mm,1,0.032395,1,MEDIUM
c,standard,3mm,2,0.032312,1,MEDIUM
c,standard,3mm,3,0.032407,1,MEDIUM
c,standard,3mm,4,0.032406,1,MEDIUM
c,standard,3mm,5,0.032408,1,MEDIUM
c,standard,adi,1,0.079551,1,MEDIUM
c,standard,adi,2,0.078091,1,MEDIUM
c,standard,adi,3,0.078522,1,MEDIUM
c,standard,adi,4,0.077943,1,MEDIUM
c,standard,adi,5,0.078066,1,MEDIUM
c,standard,atax,1,0.000332,1,MEDIUM
c,standard,atax,2,0.000337,1,MEDIUM
c,standard,atax,3,0.000335,1,MEDIUM
c,standard,atax,4,0.000344,1,MEDIUM
c,standard,atax,5,0.000330,1,MEDIUM
c,standard,bicg,1,0.000577,1,MEDIUM
c,standard,bicg,2,0.000590,1,MEDIUM
c,standard,bicg,3,0.000588,1,MEDIUM
c,standard,bicg,4,0.000576,1,MEDIUM
c,standard,bicg,5,0.000592,1,MEDIUM
c,standard,cholesky,1,0.015307,1,MEDIUM
c,standard,cholesky,2,0.015308,1,MEDIUM
c,standard,cholesky,3,0.015309,1,MEDIUM
c,standard,cholesky,4,0.015299,1,MEDIUM
c,standard,cholesky,5,0.015294,1,MEDIUM
c,standard,correlation,1,0.012343,1,MEDIUM
c,standard,correlation,2,0.012352,1,MEDIUM
c,standard,correlation,3,0.012334,1,MEDIUM
c,standard,correlation,4,0.012345,1,MEDIUM
c,standard,correlation,5,0.012292,1,MEDIUM
c,standard,covariance,1,0.012233,1,MEDIUM
c,standard,covariance,2,0.012236,1,MEDIUM
c,standard,covariance,3,0.012194,1,MEDIUM
c,standard,covariance,4,0.012259,1,MEDIUM
c,standard,covariance,5,0.012273,1,MEDIUM
c,standard,deriche,1,0.010673,1,MEDIUM
c,standard,deriche,2,0.010740,1,MEDIUM
