framework,version,algorithm,run,time_s,repetition,dataset_size
c,standard,2mm,1,0.000443,1,SMALL
c,standard,2mm,2,0.000439,1,SMALL
c,standard,2mm,3,0.000438,1,SMALL
c,standard,2mm,4,0.000442,1,SMALL
c,standard,2mm,5,0.000453,1,SMALL
c,standard,3mm,1,0.000795,1,SMALL
c,standard,3mm,2,0.000794,1,SMALL
c,standard,3mm,3,0.000806,1,SMALL
c,standard,3mm,4,0.000806,1,SMALL
c,standard,3mm,5,0.000796,1,SMALL
c,standard,adi,1,0.002783,1,SMALL
c,standard,adi,2,0.002780,1,SMALL
c,standard,adi,3,0.002772,1,SMALL
c,standard,adi,4,0.002775,1,SMALL
c,standard,adi,5,0.002978,1,SMALL
c,standard,atax,1,0.000038,1,SMALL
c,standard,atax,2,0.000037,1,SMALL
c,standard,atax,3,0.000037,1,SMALL
c,standard,atax,4,0.000038,1,SMALL
c,standard,atax,5,0.000039,1,SMALL
c,standard,bicg,1,0.000053,1,SMALL
c,standard,bicg,2,0.000056,1,SMALL
c,standard,bicg,3,0.000054,1,SMALL
c,standard,bicg,4,0.000053,1,SMALL
c,standard,bicg,5,0.000053,1,SMALL
c,standard,cholesky,1,0.000389,1,SMALL
c,standard,cholesky,2,0.000403,1,SMALL
c,standard,cholesky,3,0.000389,1,SMALL
c,standard,cholesky,4,0.000400,1,SMALL
c,standard,cholesky,5,0.000389,1,SMALL
c,standard,correlation,1,0.000628,1,SMALL
c,standard,correlation,2,0.000625,1,SMALL
c,standard,correlation,3,0.000631,1,SMALL
c,standard,correlation,4,0.000615,1,SMALL
c,standard,correlation,5,0.000630,1,SMALL
c,standard,covariance,1,0.000617,1,SMALL
c,standard,covariance,2,0.000540,1,SMALL
c,standard,covariance,3,0.000631,1,SMALL
c,standard,covariance,4,0.000617,1,SMALL
c,standard,covariance,5,0.000629,1,SMALL
c,standard,deriche,1,0.000828,1,SMALL
c,standard,deriche,2,0.000822,1,SMALL
c,standard,deriche,3,0.000822,1,SMALL
c,standard,deriche,4,0.000856,1,SMALL
c,standard,deriche,5,0.000840,1,SMALL
c,standard,doitgen,1,0.000657,1,SMALL
c,standard,doitgen,2,0.000645,1,SMALL
c,standard,doitgen,3,0.000654,1,SMALL
c,standard,doitgen,4,0.000645,1,SMALL
c,standard,doitgen,5,0.000650,1,SMALL
c,standard,durbin,1,0.000019,1,SMALL
c,standard,durbin,2,0.000019,1,SMALL
c,standard,durbin,3,0.000019,1,SMALL
c,standard,durbin,4,0.000019,1,SMALL
c,standard,durbin,5,0.000019,1,SMALL
c,standard,fdtd-2d,1,0.000322,1,SMALL
c,standard,fdtd-2d,2,0.000329,1,SMALL
c,standard,fdtd-2d,3,0.000322,1,SMALL
c,standard,fdtd-2d,4,0.000324,1,SMALL
c,standard,fdtd-2d,5,0.000332,1,SMALL
c,standard,floyd-warshall,1,0.007346,1,SMALL
c,standard,floyd-warshall,2,0.007254,1,SMALL
c,standard,floyd-warshall,3,0.007152,1,SMALL
c,standard,floyd-warshall,4,0.007180,1,SMALL
c,standard,floyd-warshall,5,0.007409,1,SMALL
c,standard,gemm,1,0.000105,1,SMALL
c,standard,gemm,2,0.000103,1,SMALL
c,standard,gemm,3,0.000103,1,SMALL
c,standard,gemm,4,0.000105,1,SMALL
c,standard,gemm,5,0.000104,1,SMALL
c,standard,gemver,1,0.000067,1,SMALL
c,standard,gemver,2,0.000067,1,SMALL
c,standard,gemver,3,0.000067,1,SMALL
c,standard,gemver,4,0.000068,1,SMALL
c,standard,gemver,5,0.000064,1,SMALL
c,standard,gesummv,1,0.000031,1,SMALL
c,standard,gesummv,2,0.000032,1,SMALL
c,standard,gesummv,3,0.000031,1,SMALL
c,standard,gesummv,4,0.000030,1,SMALL
c,standard,gesummv,5,0.000030,1,SMALL
c,standard,gramschmidt,1,0.000430,1,SMALL
c,standard,gramschmidt,2,0.000429,1,SMALL
c,standard,gramschmidt,3,0.000438,1,SMALL
c,standard,gramschmidt,4,0.000430,1,SMALL
c,standard,gramschmidt,5,0.000429,1,SMALL
c,standard,heat-3d,1,0.000519,1,SMALL
c,standard,heat-3d,2,0.000518,1,SMALL
c,standard,heat-3d,3,0.000504,1,SMALL
c,standard,heat-3d,4,0.000502,1,SMALL
c,standard,heat-3d,5,0.000503,1,SMALL
c,standard,jacobi-1d,1,0.000005,1,SMALL
c,standard,jacobi-1d,2,0.000005,1,SMALL
c,standard,jacobi-1d,3,0.000005,1,SMALL
c,standard,jacobi-1d,4,0.000006,1,SMALL
c,standard,jacobi-1d,5,0.000006,1,SMALL
c,standard,jacobi-2d,1,0.000526,1,SMALL
c,standard,jacobi-2d,2,0.000635,1,SMALL
c,standard,jacobi-2d,3,0.000514,1,SMALL
c,standard,jacobi-2d,4,0.000528,1,SMALL
c,standard,jacobi-2d,5,0.000514,1,SMALL
c,standard,lu,1,0.000811,1,SMALL
c,standard,lu,2,0.000806,1,SMALL
c,standard,lu,3,0.000796,1,SMALL
c,standard,lu,4,0.000766,1,SMALL
c,standard,lu,5,0.000777,1,SMALL
c,standard,ludcmp,1,0.000736,1,SMALL
c,standard,ludcmp,2,0.000733,1,SMALL
c,standard,ludcmp,3,0.000733,1,SMALL
c,standard,ludcmp,4,0.000728,1,SMALL
c,standard,ludcmp,5,0.000731,1,SMALL
c,standard,mvt,1,0.000056,1,SMALL
c,standard,mvt,2,0.000043,1,SMALL
c,standard,mvt,3,0.000042,1,SMALL
c,standard,mvt,4,0.000042,1,SMALL
c,standard,mvt,5,0.000042,1,SMALL
c,standard,nussinov,1,0.002863,1,SMALL
c,standard,nussinov,2,0.002878,1,SMALL
c,standard,nussinov,3,0.002878,1,SMALL
c,standard,nussinov,4,0.002874,1,SMALL
c,standard,nussinov,5,0.002877,1,SMALL
c,standard,seidel-2d,1,0.007355,1,SMALL
c,standard,seidel-2d,2,0.007367,1,SMALL
c,standard,seidel-2d,3,0.007370,1,SMALL
c,standard,seidel-2d,4,0.007355,1,SMALL
c,standard,seidel-2d,5,0.007358,1,SMALL
