framework,version,algorithm,run,time_s,repetition,dataset_size
c,standard,2mm,1,25.609272,1,EXTRALARGE
c,standard,2mm,2,25.870332,1,EXTRALARGE
c,standard,2mm,3,25.809183,1,EXTRALARGE
c,standard,2mm,4,25.908792,1,EXTRALARGE
c,standard,2mm,5,25.895632,1,EXTRALARGE
c,standard,3mm,1,43.424997,1,EXTRALARGE
c,standard,3mm,2,43.131141,1,EXTRALARGE
c,standard,3mm,3,43.065137,1,EXTRALARGE
c,standard,3mm,4,43.324449,1,EXTRALARGE
c,standard,3mm,5,43.503220,1,EXTRALARGE
c,standard,adi,1,85.756937,1,EXTRALARGE
c,standard,adi,2,85.612452,1,EXTRALARGE
c,standard,adi,3,85.525118,1,EXTRALARGE
c,standard,adi,4,85.528061,1,EXTRALARGE
c,standard,adi,5,85.514633,1,EXTRALARGE
c,standard,atax,1,0.008592,1,EXTRALARGE
c,standard,atax,2,0.008544,1,EXTRALARGE
c,standard,atax,3,0.008645,1,EXTRALARGE
c,standard,atax,4,0.008471,1,EXTRALARGE
c,standard,atax,5,0.008570,1,EXTRALARGE
c,standard,bicg,1,0.014544,1,EXTRALARGE
c,standard,bicg,2,0.014509,1,EXTRALARGE
c,standard,bicg,3,0.014476,1,EXTRALARGE
c,standard,bicg,4,0.014538,1,EXTRALARGE
c,standard,bicg,5,0.014488,1,EXTRALARGE
c,standard,cholesky,1,16.279321,1,EXTRALARGE
c,standard,cholesky,2,16.285984,1,EXTRALARGE
c,standard,cholesky,3,16.320302,1,EXTRALARGE
c,standard,cholesky,4,16.312374,1,EXTRALARGE
c,standard,cholesky,5,16.284728,1,EXTRALARGE
c,standard,correlation,1,20.747677,1,EXTRALARGE
c,standard,correlation,2,20.550176,1,EXTRALARGE
c,standard,correlation,3,20.328401,1,EXTRALARGE
c,standard,correlation,4,20.384127,1,EXTRALARGE
c,standard,correlation,5,20.402541,1,EXTRALARGE
c,standard,covariance,1,20.492408,1,EXTRALARGE
c,standard,covariance,2,20.478940,1,EXTRALARGE
c,standard,covariance,3,20.371585,1,EXTRALARGE
c,standard,covariance,4,20.382913,1,EXTRALARGE
c,standard,covariance,5,20.419635,1,EXTRALARGE
c,standard,deriche,1,1.178875,1,EXTRALARGE
