framework,version,algorithm,run,time_s,repetition,dataset_size
tiramisu,standard,2mm,1,21.547600,1,EXTRALARGE
tiramisu,standard,2mm,2,21.640800,1,EXTRALARGE
tiramisu,standard,2mm,3,21.692600,1,EXTRALARGE
tiramisu,standard,2mm,4,21.706000,1,EXTRALARGE
tiramisu,standard,2mm,5,21.705800,1,EXTRALARGE
tiramisu,standard,3mm,1,35.216600,1,EXTRALARGE
tiramisu,standard,3mm,2,36.574600,1,EXTRALARGE
tiramisu,standard,3mm,3,37.446200,1,EXTRALARGE
tiramisu,standard,3mm,4,37.365300,1,EXTRALARGE
tiramisu,standard,3mm,5,37.471300,1,EXTRALARGE
tiramisu,standard,adi,1,126.056000,1,EXTRALARGE
tiramisu,standard,adi,2,125.976000,1,EXTRALARGE
tiramisu,standard,adi,3,125.949000,1,EXTRALARGE
tiramisu,standard,adi,4,125.954000,1,EXTRALARGE
tiramisu,standard,adi,5,125.938000,1,EXTRALARGE
tiramisu,standard,atax,1,0.005134,1,EXTRALARGE
tiramisu,standard,atax,2,0.005091,1,EXTRALARGE
tiramisu,standard,atax,3,0.005224,1,EXTRALARGE
tiramisu,standard,atax,4,0.005094,1,EXTRALARGE
tiramisu,standard,atax,5,0.005082,1,EXTRALARGE
tiramisu,standard,bicg,1,0.004179,1,EXTRALARGE
tiramisu,standard,bicg,2,0.004708,1,EXTRALARGE
tiramisu,standard,bicg,3,0.004829,1,EXTRALARGE
tiramisu,standard,bicg,4,0.004761,1,EXTRALARGE
tiramisu,standard,bicg,5,0.004693,1,EXTRALARGE
tiramisu,standard,cholesky,1,16.607800,1,EXTRALARGE
tiramisu,standard,cholesky,2,16.571700,1,EXTRALARGE
tiramisu,standard,cholesky,3,16.559200,1,EXTRALARGE
tiramisu,standard,cholesky,4,16.569500,1,EXTRALARGE
tiramisu,standard,cholesky,5,16.562400,1,EXTRALARGE
tiramisu,standard,correlation,1,18.254700,1,EXTRALARGE
tiramisu,standard,correlation,2,17.977800,1,EXTRALARGE
tiramisu,standard,correlation,3,17.978700,1,EXTRALARGE
tiramisu,standard,correlation,4,17.978800,1,EXTRALARGE
tiramisu,standard,correlation,5,17.979000,1,EXTRALARGE
tiramisu,standard,covariance,1,18.365900,1,EXTRALARGE
tiramisu,standard,covariance,2,18.062500,1,EXTRALARGE
tiramisu,standard,covariance,3,18.062200,1,EXTRALARGE
tiramisu,standard,covariance,4,18.062300,1,EXTRALARGE
tiramisu,standard,covariance,5,18.062300,1,EXTRALARGE
tiramisu,standard,deriche,1,0.879280,1,EXTRALARGE
tiramisu,standard,deriche,2,0.879926,1,EXTRALARGE
tiramisu,standard,deriche,3,0.864336,1,EXTRALARGE
tiramisu,standard,deriche,4,0.848072,1,EXTRALARGE
tiramisu,standard,deriche,5,0.842478,1,EXTRALARGE
tiramisu,standard,doitgen,1,3.842750,1,EXTRALARGE
tiramisu,standard,doitgen,2,3.839650,1,EXTRALARGE
tiramisu,standard,doitgen,3,3.834920,1,EXTRALARGE
tiramisu,standard,doitgen,4,3.834560,1,EXTRALARGE
tiramisu,standard,doitgen,5,3.834690,1,EXTRALARGE
tiramisu,standard,durbin,1,0.009093,1,EXTRALARGE
tiramisu,standard,durbin,2,0.008941,1,EXTRALARGE
tiramisu,standard,durbin,3,0.008897,1,EXTRALARGE
tiramisu,standard,durbin,4,0.008884,1,EXTRALARGE
tiramisu,standard,durbin,5,0.008878,1,EXTRALARGE
tiramisu,standard,fdtd-2d,1,25.288300,1,EXTRALARGE
tiramisu,standard,fdtd-2d,2,24.854400,1,EXTRALARGE
tiramisu,standard,fdtd-2d,3,24.848400,1,EXTRALARGE
tiramisu,standard,fdtd-2d,4,24.842800,1,EXTRALARGE
tiramisu,standard,fdtd-2d,5,24.828900,1,EXTRALARGE
tiramisu,standard,floyd-warshall,1,201.114000,1,EXTRALARGE
tiramisu,standard,floyd-warshall,2,200.768000,1,EXTRALARGE
tiramisu,standard,floyd-warshall,3,200.928000,1,EXTRALARGE
tiramisu,standard,floyd-warshall,4,201.063000,1,EXTRALARGE
tiramisu,standard,floyd-warshall,5,200.782000,1,EXTRALARGE
tiramisu,standard,gemm,1,9.413490,1,EXTRALARGE
tiramisu,standard,gemm,2,8.922050,1,EXTRALARGE
tiramisu,standard,gemm,3,8.934260,1,EXTRALARGE
tiramisu,standard,gemm,4,8.936630,1,EXTRALARGE
tiramisu,standard,gemm,5,8.944310,1,EXTRALARGE
tiramisu,standard,gemver,1,0.090411,1,EXTRALARGE
tiramisu,standard,gemver,2,0.090935,1,EXTRALARGE
tiramisu,standard,gemver,3,0.090822,1,EXTRALARGE
tiramisu,standard,gemver,4,0.090779,1,EXTRALARGE
tiramisu,standard,gemver,5,0.090737,1,EXTRALARGE
tiramisu,standard,gesummv,1,0.013189,1,EXTRALARGE
tiramisu,standard,gesummv,2,0.013600,1,EXTRALARGE
tiramisu,standard,gesummv,3,0.013342,1,EXTRALARGE
tiramisu,standard,gesummv,4,0.013257,1,EXTRALARGE
tiramisu,standard,gesummv,5,0.013334,1,EXTRALARGE
tiramisu,standard,gramschmidt,1,23.227000,1,EXTRALARGE
tiramisu,standard,gramschmidt,2,22.978200,1,EXTRALARGE
tiramisu,standard,gramschmidt,3,22.856700,1,EXTRALARGE
tiramisu,standard,gramschmidt,4,22.864500,1,EXTRALARGE
tiramisu,standard,gramschmidt,5,22.858000,1,EXTRALARGE
tiramisu,standard,heat-3d,1,35.168800,1,EXTRALARGE
tiramisu,standard,heat-3d,2,34.950400,1,EXTRALARGE
tiramisu,standard,heat-3d,3,34.959800,1,EXTRALARGE
tiramisu,standard,heat-3d,4,34.962500,1,EXTRALARGE
tiramisu,standard,heat-3d,5,34.968600,1,EXTRALARGE
tiramisu,standard,jacobi-1d,1,0.005335,1,EXTRALARGE
tiramisu,standard,jacobi-1d,2,0.005259,1,EXTRALARGE
tiramisu,standard,jacobi-1d,3,0.005342,1,EXTRALARGE
tiramisu,standard,jacobi-1d,4,0.005274,1,EXTRALARGE
tiramisu,standard,jacobi-1d,5,0.005295,1,EXTRALARGE
tiramisu,standard,jacobi-2d,1,23.065900,1,EXTRALARGE
tiramisu,standard,jacobi-2d,2,22.733000,1,EXTRALARGE
tiramisu,standard,jacobi-2d,3,22.721200,1,EXTRALARGE
tiramisu,standard,jacobi-2d,4,22.713100,1,EXTRALARGE
tiramisu,standard,jacobi-2d,5,22.715300,1,EXTRALARGE
tiramisu,standard,lu,1,51.768500,1,EXTRALARGE
tiramisu,standard,lu,2,51.894800,1,EXTRALARGE
tiramisu,standard,lu,3,51.892200,1,EXTRALARGE
tiramisu,standard,lu,4,51.891400,1,EXTRALARGE
tiramisu,standard,lu,5,51.899900,1,EXTRALARGE
tiramisu,standard,ludcmp,1,42.265000,1,EXTRALARGE
tiramisu,standard,ludcmp,2,42.164900,1,EXTRALARGE
tiramisu,standard,ludcmp,3,42.165200,1,EXTRALARGE
tiramisu,standard,ludcmp,4,42.199800,1,EXTRALARGE
tiramisu,standard,ludcmp,5,42.280100,1,EXTRALARGE
tiramisu,standard,mvt,1,0.073380,1,EXTRALARGE
tiramisu,standard,mvt,2,0.074332,1,EXTRALARGE
tiramisu,standard,mvt,3,0.074013,1,EXTRALARGE
tiramisu,standard,mvt,4,0.073972,1,EXTRALARGE
tiramisu,standard,mvt,5,0.074198,1,EXTRALARGE
tiramisu,standard,nussinov,1,43.235400,1,EXTRALARGE
tiramisu,standard,nussinov,2,43.207000,1,EXTRALARGE
tiramisu,standard,nussinov,3,43.206500,1,EXTRALARGE
tiramisu,standard,nussinov,4,43.200900,1,EXTRALARGE
tiramisu,standard,nussinov,5,43.194700,1,EXTRALARGE
tiramisu,standard,seidel-2d,1,160.711000,1,EXTRALARGE
tiramisu,standard,seidel-2d,2,160.687000,1,EXTRALARGE
tiramisu,standard,seidel-2d,3,160.689000,1,EXTRALARGE
tiramisu,standard,seidel-2d,4,160.689000,1,EXTRALARGE
tiramisu,standard,seidel-2d,5,160.688000,1,EXTRALARGE
tiramisu,standard,symm,1,18.470200,1,EXTRALARGE
tiramisu,standard,symm,2,18.297000,1,EXTRALARGE
tiramisu,standard,symm,3,18.295800,1,EXTRALARGE
tiramisu,standard,symm,4,18.297300,1,EXTRALARGE
tiramisu,standard,symm,5,18.295700,1,EXTRALARGE
tiramisu,standard,syr2k,1,26.904600,1,EXTRALARGE
