framework,version,algorithm,run,time_s,repetition,dataset_size
tiramisu,standard,2mm,1,2.092160,1,LARGE
tiramisu,standard,2mm,2,2.102630,1,LARGE
tiramisu,standard,2mm,3,2.095020,1,LARGE
tiramisu,standard,2mm,4,2.094240,1,LARGE
tiramisu,standard,2mm,5,2.094020,1,LARGE
tiramisu,standard,3mm,1,3.175110,1,LARGE
tiramisu,standard,3mm,2,3.171860,1,LARGE
tiramisu,standard,3mm,3,3.165480,1,LARGE
tiramisu,standard,3mm,4,3.164630,1,LARGE
tiramisu,standard,3mm,5,3.166440,1,LARGE
tiramisu,standard,adi,1,14.875500,1,LARGE
tiramisu,standard,adi,2,14.860000,1,LARGE
tiramisu,standard,adi,3,14.781700,1,LARGE
tiramisu,standard,adi,4,14.845400,1,LARGE
tiramisu,standard,adi,5,14.820800,1,LARGE
tiramisu,standard,atax,1,0.005262,1,LARGE
tiramisu,standard,atax,2,0.005283,1,LARGE
tiramisu,standard,atax,3,0.005257,1,LARGE
tiramisu,standard,atax,4,0.005383,1,LARGE
tiramisu,standard,atax,5,0.005238,1,LARGE
tiramisu,standard,bicg,1,0.004305,1,LARGE
tiramisu,standard,bicg,2,0.004426,1,LARGE
tiramisu,standard,bicg,3,0.004440,1,LARGE
tiramisu,standard,bicg,4,0.004593,1,LARGE
tiramisu,standard,bicg,5,0.004420,1,LARGE
tiramisu,standard,cholesky,1,1.930670,1,LARGE
tiramisu,standard,cholesky,2,1.929570,1,LARGE
tiramisu,standard,cholesky,3,1.925810,1,LARGE
tiramisu,standard,cholesky,4,1.925770,1,LARGE
tiramisu,standard,cholesky,5,1.925690,1,LARGE
tiramisu,standard,correlation,1,1.692680,1,LARGE
tiramisu,standard,correlation,2,1.695380,1,LARGE
tiramisu,standard,correlation,3,1.689610,1,LARGE
tiramisu,standard,correlation,4,1.688760,1,LARGE
tiramisu,standard,correlation,5,1.688850,1,LARGE
tiramisu,standard,covariance,1,1.701680,1,LARGE
tiramisu,standard,covariance,2,1.703520,1,LARGE
tiramisu,standard,covariance,3,1.696740,1,LARGE
tiramisu,standard,covariance,4,1.695690,1,LARGE
tiramisu,standard,covariance,5,1.695450,1,LARGE
tiramisu,standard,deriche,1,0.216974,1,LARGE
tiramisu,standard,deriche,2,0.217220,1,LARGE
tiramisu,standard,deriche,3,0.216947,1,LARGE
tiramisu,standard,deriche,4,0.217264,1,LARGE
tiramisu,standard,deriche,5,0.217399,1,LARGE
tiramisu,standard,doitgen,1,0.692569,1,LARGE
tiramisu,standard,doitgen,2,0.692508,1,LARGE
tiramisu,standard,doitgen,3,0.693432,1,LARGE
tiramisu,standard,doitgen,4,0.695941,1,LARGE
tiramisu,standard,doitgen,5,0.692172,1,LARGE
tiramisu,standard,durbin,1,0.002019,1,LARGE
tiramisu,standard,durbin,2,0.001992,1,LARGE
tiramisu,standard,durbin,3,0.001990,1,LARGE
tiramisu,standard,durbin,4,0.001985,1,LARGE
tiramisu,standard,durbin,5,0.001994,1,LARGE
tiramisu,standard,fdtd-2d,1,2.248840,1,LARGE
tiramisu,standard,fdtd-2d,2,2.007160,1,LARGE
tiramisu,standard,fdtd-2d,3,2.003570,1,LARGE
tiramisu,standard,fdtd-2d,4,2.001010,1,LARGE
tiramisu,standard,fdtd-2d,5,2.001880,1,LARGE
tiramisu,standard,floyd-warshall,1,24.608000,1,LARGE
tiramisu,standard,floyd-warshall,2,24.517400,1,LARGE
tiramisu,standard,floyd-warshall,3,24.504200,1,LARGE
tiramisu,standard,floyd-warshall,4,24.490700,1,LARGE
tiramisu,standard,floyd-warshall,5,24.492600,1,LARGE
tiramisu,standard,gemm,1,0.064159,1,LARGE
tiramisu,standard,gemm,2,0.062721,1,LARGE
tiramisu,standard,gemm,3,0.062683,1,LARGE
tiramisu,standard,gemm,4,0.062556,1,LARGE
tiramisu,standard,gemm,5,0.062530,1,LARGE
tiramisu,standard,gemver,1,0.019003,1,LARGE
tiramisu,standard,gemver,2,0.017503,1,LARGE
tiramisu,standard,gemver,3,0.017297,1,LARGE
tiramisu,standard,gemver,4,0.017244,1,LARGE
tiramisu,standard,gemver,5,0.017261,1,LARGE
tiramisu,standard,gesummv,1,0.002653,1,LARGE
tiramisu,standard,gesummv,2,0.002669,1,LARGE
tiramisu,standard,gesummv,3,0.002602,1,LARGE
tiramisu,standard,gesummv,4,0.002242,1,LARGE
tiramisu,standard,gesummv,5,0.002130,1,LARGE
tiramisu,standard,gramschmidt,1,2.523380,1,LARGE
tiramisu,standard,gramschmidt,2,2.515640,1,LARGE
tiramisu,standard,gramschmidt,3,2.512800,1,LARGE
tiramisu,standard,gramschmidt,4,2.512560,1,LARGE
tiramisu,standard,gramschmidt,5,2.512510,1,LARGE
tiramisu,standard,heat-3d,1,2.849430,1,LARGE
tiramisu,standard,heat-3d,2,2.842550,1,LARGE
tiramisu,standard,heat-3d,3,2.842370,1,LARGE
