framework,version,algorithm,run,time_s,repetition,dataset_size,data_type
c,standard,2mm,1,2.592453,1,LARGE,DOUBLE
c,standard,2mm,2,2.599766,1,LARGE,DOUBLE
c,standard,2mm,3,2.577278,1,LARGE,DOUBLE
c,standard,2mm,4,2.581652,1,LARGE,DOUBLE
c,standard,2mm,5,2.588047,1,LARGE,DOUBLE
c,standard,3mm,1,3.913433,1,LARGE,DOUBLE
c,standard,3mm,2,3.907533,1,LARGE,DOUBLE
c,standard,3mm,3,3.931705,1,LARGE,DOUBLE
c,standard,3mm,4,3.902520,1,LARGE,DOUBLE
c,standard,3mm,5,3.914414,1,LARGE,DOUBLE
c,standard,adi,1,10.390360,1,LARGE,DOUBLE
c,standard,adi,2,10.401228,1,LARGE,DOUBLE
c,standard,adi,3,10.413016,1,LARGE,DOUBLE
c,standard,adi,4,10.379753,1,LARGE,DOUBLE
c,standard,adi,5,10.345217,1,LARGE,DOUBLE
c,standard,atax,1,0.008620,1,LARGE,DOUBLE
c,standard,atax,2,0.008635,1,LARGE,DOUBLE
c,standard,atax,3,0.008568,1,LARGE,DOUBLE
c,standard,atax,4,0.008527,1,LARGE,DOUBLE
c,standard,atax,5,0.008549,1,LARGE,DOUBLE
c,standard,bicg,1,0.018397,1,LARGE,DOUBLE
c,standard,bicg,2,0.014668,1,LARGE,DOUBLE
c,standard,bicg,3,0.014650,1,LARGE,DOUBLE
c,standard,bicg,4,0.014579,1,LARGE,DOUBLE
c,standard,bicg,5,0.014615,1,LARGE,DOUBLE
c,standard,cholesky,1,1.903602,1,LARGE,DOUBLE
c,standard,cholesky,2,1.901851,1,LARGE,DOUBLE
c,standard,cholesky,3,1.904269,1,LARGE,DOUBLE
c,standard,cholesky,4,1.904045,1,LARGE,DOUBLE
c,standard,cholesky,5,1.905785,1,LARGE,DOUBLE
c,standard,correlation,1,1.687802,1,LARGE,DOUBLE
c,standard,correlation,2,1.715285,1,LARGE,DOUBLE
c,standard,correlation,3,1.720161,1,LARGE,DOUBLE
c,standard,correlation,4,1.694485,1,LARGE,DOUBLE
c,standard,correlation,5,1.724679,1,LARGE,DOUBLE
c,standard,covariance,1,1.704686,1,LARGE,DOUBLE
c,standard,covariance,2,1.694110,1,LARGE,DOUBLE
c,standard,covariance,3,1.710978,1,LARGE,DOUBLE
c,standard,covariance,4,1.710063,1,LARGE,DOUBLE
c,standard,covariance,5,1.700332,1,LARGE,DOUBLE
c,standard,deriche,1,0.225658,1,LARGE,DOUBLE
c,standard,deriche,2,0.224379,1,LARGE,DOUBLE
c,standard,deriche,3,0.224103,1,LARGE,DOUBLE
c,standard,deriche,4,0.226214,1,LARGE,DOUBLE
c,standard,deriche,5,0.226207,1,LARGE,DOUBLE
c,standard,doitgen,1,0.744845,1,LARGE,DOUBLE
c,standard,doitgen,2,0.744135,1,LARGE,DOUBLE
c,standard,doitgen,3,0.744352,1,LARGE,DOUBLE
c,standard,doitgen,4,0.744180,1,LARGE,DOUBLE
c,standard,doitgen,5,0.743081,1,LARGE,DOUBLE
c,standard,durbin,1,0.003873,1,LARGE,DOUBLE
c,standard,durbin,2,0.003858,1,LARGE,DOUBLE
c,standard,durbin,3,0.003853,1,LARGE,DOUBLE
c,standard,durbin,4,0.003855,1,LARGE,DOUBLE
c,standard,durbin,5,0.003896,1,LARGE,DOUBLE
c,standard,fdtd-2d,1,1.735625,1,LARGE,DOUBLE
c,standard,fdtd-2d,2,1.753744,1,LARGE,DOUBLE
c,standard,fdtd-2d,3,1.695221,1,LARGE,DOUBLE
c,standard,fdtd-2d,4,1.726021,1,LARGE,DOUBLE
c,standard,fdtd-2d,5,1.734446,1,LARGE,DOUBLE
c,standard,floyd-warshall,1,22.634864,1,LARGE,DOUBLE
c,standard,floyd-warshall,2,22.571845,1,LARGE,DOUBLE
c,standard,floyd-warshall,3,22.651892,1,LARGE,DOUBLE
c,standard,floyd-warshall,4,22.539147,1,LARGE,DOUBLE
c,standard,floyd-warshall,5,22.625898,1,LARGE,DOUBLE
c,standard,gemm,1,0.455669,1,LARGE,DOUBLE
c,standard,gemm,2,0.447489,1,LARGE,DOUBLE
c,standard,gemm,3,0.447586,1,LARGE,DOUBLE
c,standard,gemm,4,0.447245,1,LARGE,DOUBLE
