framework,version,algorithm,run,time_s,repetition,dataset_size,data_type
c,standard,2mm,1,0.021234,1,MEDIUM,DOUBLE
c,standard,2mm,2,0.021228,1,MEDIUM,DOUBLE
c,standard,2mm,3,0.021200,1,MEDIUM,DOUBLE
c,standard,2mm,4,0.021170,1,MEDIUM,DOUBLE
c,standard,2mm,5,0.021141,1,MEDIUM,DOUBLE
c,standard,3mm,1,0.032413,1,MEDIUM,DOUBLE
c,standard,3mm,2,0.032400,1,MEDIUM,DOUBLE
c,standard,3mm,3,0.032403,1,MEDIUM,DOUBLE
c,standard,3mm,4,0.032427,1,MEDIUM,DOUBLE
c,standard,3mm,5,0.032419,1,MEDIUM,DOUBLE
c,standard,adi,1,0.078040,1,MEDIUM,DOUBLE
c,standard,adi,2,0.078174,1,MEDIUM,DOUBLE
c,standard,adi,3,0.078031,1,MEDIUM,DOUBLE
c,standard,adi,4,0.078522,1,MEDIUM,DOUBLE
c,standard,adi,5,0.078054,1,MEDIUM,DOUBLE
c,standard,atax,1,0.000353,1,MEDIUM,DOUBLE
c,standard,atax,2,0.000351,1,MEDIUM,DOUBLE
c,standard,atax,3,0.000359,1,MEDIUM,DOUBLE
c,standard,atax,4,0.000340,1,MEDIUM,DOUBLE
c,standard,atax,5,0.000332,1,MEDIUM,DOUBLE
c,standard,bicg,1,0.000595,1,MEDIUM,DOUBLE
c,standard,bicg,2,0.000576,1,MEDIUM,DOUBLE
c,standard,bicg,3,0.000590,1,MEDIUM,DOUBLE
c,standard,bicg,4,0.000576,1,MEDIUM,DOUBLE
c,standard,bicg,5,0.000595,1,MEDIUM,DOUBLE
c,standard,cholesky,1,0.015279,1,MEDIUM,DOUBLE
c,standard,cholesky,2,0.015292,1,MEDIUM,DOUBLE
c,standard,cholesky,3,0.015270,1,MEDIUM,DOUBLE
c,standard,cholesky,4,0.015282,1,MEDIUM,DOUBLE
c,standard,cholesky,5,0.015284,1,MEDIUM,DOUBLE
c,standard,correlation,1,0.012348,1,MEDIUM,DOUBLE
c,standard,correlation,2,0.012316,1,MEDIUM,DOUBLE
c,standard,correlation,3,0.012309,1,MEDIUM,DOUBLE
c,standard,correlation,4,0.012366,1,MEDIUM,DOUBLE
c,standard,correlation,5,0.012294,1,MEDIUM,DOUBLE
c,standard,covariance,1,0.012267,1,MEDIUM,DOUBLE
c,standard,covariance,2,0.012254,1,MEDIUM,DOUBLE
c,standard,covariance,3,0.012254,1,MEDIUM,DOUBLE
c,standard,covariance,4,0.012271,1,MEDIUM,DOUBLE
c,standard,covariance,5,0.012158,1,MEDIUM,DOUBLE
c,standard,deriche,1,0.010473,1,MEDIUM,DOUBLE
c,standard,deriche,2,0.010863,1,MEDIUM,DOUBLE
c,standard,deriche,3,0.010818,1,MEDIUM,DOUBLE
c,standard,deriche,4,0.010665,1,MEDIUM,DOUBLE
c,standard,deriche,5,0.010813,1,MEDIUM,DOUBLE
c,standard,doitgen,1,0.009399,1,MEDIUM,DOUBLE
c,standard,doitgen,2,0.009380,1,MEDIUM,DOUBLE
c,standard,doitgen,3,0.009390,1,MEDIUM,DOUBLE
c,standard,doitgen,4,0.009377,1,MEDIUM,DOUBLE
c,standard,doitgen,5,0.009419,1,MEDIUM,DOUBLE
c,standard,durbin,1,0.000165,1,MEDIUM,DOUBLE
c,standard,durbin,2,0.000165,1,MEDIUM,DOUBLE
c,standard,durbin,3,0.000178,1,MEDIUM,DOUBLE
c,standard,durbin,4,0.000165,1,MEDIUM,DOUBLE
c,standard,durbin,5,0.000165,1,MEDIUM,DOUBLE
c,standard,fdtd-2d,1,0.008544,1,MEDIUM,DOUBLE
c,standard,fdtd-2d,2,0.008604,1,MEDIUM,DOUBLE
c,standard,fdtd-2d,3,0.008566,1,MEDIUM,DOUBLE
c,standard,fdtd-2d,4,0.008599,1,MEDIUM,DOUBLE
c,standard,fdtd-2d,5,0.008318,1,MEDIUM,DOUBLE
c,standard,floyd-warshall,1,0.111014,1,MEDIUM,DOUBLE
c,standard,floyd-warshall,2,0.111018,1,MEDIUM,DOUBLE
c,standard,floyd-warshall,3,0.109440,1,MEDIUM,DOUBLE
c,standard,floyd-warshall,4,0.109691,1,MEDIUM,DOUBLE
c,standard,floyd-warshall,5,0.110175,1,MEDIUM,DOUBLE
c,standard,gemm,1,0.003468,1,MEDIUM,DOUBLE
c,standard,gemm,2,0.003441,1,MEDIUM,DOUBLE
c,standard,gemm,3,0.003449,1,MEDIUM,DOUBLE
c,standard,gemm,4,0.003451,1,MEDIUM,DOUBLE
c,standard,gemm,5,0.003471,1,MEDIUM,DOUBLE
c,standard,gemver,1,0.000699,1,MEDIUM,DOUBLE
c,standard,gemver,2,0.000694,1,MEDIUM,DOUBLE
c,standard,gemver,3,0.000690,1,MEDIUM,DOUBLE
c,standard,gemver,4,0.000697,1,MEDIUM,DOUBLE
c,standard,gemver,5,0.000710,1,MEDIUM,DOUBLE
c,standard,gesummv,1,0.000247,1,MEDIUM,DOUBLE
c,standard,gesummv,2,0.000242,1,MEDIUM,DOUBLE
c,standard,gesummv,3,0.000242,1,MEDIUM,DOUBLE
c,standard,gesummv,4,0.000239,1,MEDIUM,DOUBLE
c,standard,gesummv,5,0.000227,1,MEDIUM,DOUBLE
c,standard,gramschmidt,1,0.017084,1,MEDIUM,DOUBLE
c,standard,gramschmidt,2,0.017103,1,MEDIUM,DOUBLE
c,standard,gramschmidt,3,0.017147,1,MEDIUM,DOUBLE
c,standard,gramschmidt,4,0.017086,1,MEDIUM,DOUBLE
c,standard,gramschmidt,5,0.017103,1,MEDIUM,DOUBLE
c,standard,heat-3d,1,0.012013,1,MEDIUM,DOUBLE
c,standard,heat-3d,2,0.012104,1,MEDIUM,DOUBLE
c,standard,heat-3d,3,0.012343,1,MEDIUM,DOUBLE
c,standard,heat-3d,4,0.012207,1,MEDIUM,DOUBLE
c,standard,heat-3d,5,0.012031,1,MEDIUM,DOUBLE
c,standard,jacobi-1d,1,0.000049,1,MEDIUM,DOUBLE
c,standard,jacobi-1d,2,0.000049,1,MEDIUM,DOUBLE
c,standard,jacobi-1d,3,0.000049,1,MEDIUM,DOUBLE
c,standard,jacobi-1d,4,0.000050,1,MEDIUM,DOUBLE
c,standard,jacobi-1d,5,0.000049,1,MEDIUM,DOUBLE
c,standard,jacobi-2d,1,0.010235,1,MEDIUM,DOUBLE
c,standard,jacobi-2d,2,0.010193,1,MEDIUM,DOUBLE
c,standard,jacobi-2d,3,0.010899,1,MEDIUM,DOUBLE
c,standard,jacobi-2d,4,0.010177,1,MEDIUM,DOUBLE
c,standard,jacobi-2d,5,0.010198,1,MEDIUM,DOUBLE
c,standard,lu,1,0.030859,1,MEDIUM,DOUBLE
c,standard,lu,2,0.030874,1,MEDIUM,DOUBLE
c,standard,lu,3,0.030796,1,MEDIUM,DOUBLE
c,standard,lu,4,0.030835,1,MEDIUM,DOUBLE
c,standard,lu,5,0.030846,1,MEDIUM,DOUBLE
c,standard,ludcmp,1,0.029306,1,MEDIUM,DOUBLE
c,standard,ludcmp,2,0.029269,1,MEDIUM,DOUBLE
c,standard,ludcmp,3,0.029293,1,MEDIUM,DOUBLE
c,standard,ludcmp,4,0.029292,1,MEDIUM,DOUBLE
c,standard,ludcmp,5,0.029237,1,MEDIUM,DOUBLE
c,standard,mvt,1,0.000503,1,MEDIUM,DOUBLE
c,standard,mvt,2,0.000506,1,MEDIUM,DOUBLE
c,standard,mvt,3,0.000522,1,MEDIUM,DOUBLE
c,standard,mvt,4,0.000504,1,MEDIUM,DOUBLE
c,standard,mvt,5,0.000523,1,MEDIUM,DOUBLE
c,standard,nussinov,1,0.060055,1,MEDIUM,DOUBLE
c,standard,nussinov,2,0.060037,1,MEDIUM,DOUBLE
c,standard,nussinov,3,0.060010,1,MEDIUM,DOUBLE
c,standard,nussinov,4,0.059853,1,MEDIUM,DOUBLE
c,standard,nussinov,5,0.060005,1,MEDIUM,DOUBLE
c,standard,seidel-2d,1,0.213295,1,MEDIUM,DOUBLE
c,standard,seidel-2d,2,0.213302,1,MEDIUM,DOUBLE
c,standard,seidel-2d,3,0.213299,1,MEDIUM,DOUBLE
c,standard,seidel-2d,4,0.213289,1,MEDIUM,DOUBLE
c,standard,seidel-2d,5,0.213292,1,MEDIUM,DOUBLE
c,standard,symm,1,0.010678,1,MEDIUM,DOUBLE
c,standard,symm,2,0.010062,1,MEDIUM,DOUBLE
c,standard,symm,3,0.010093,1,MEDIUM,DOUBLE
c,standard,symm,4,0.010109,1,MEDIUM,DOUBLE
c,standard,symm,5,0.010368,1,MEDIUM,DOUBLE
c,standard,syr2k,1,0.008324,1,MEDIUM,DOUBLE
c,standard,syr2k,2,0.008348,1,MEDIUM,DOUBLE
c,standard,syr2k,3,0.008505,1,MEDIUM,DOUBLE
c,standard,syr2k,4,0.008374,1,MEDIUM,DOUBLE
c,standard,syr2k,5,0.008377,1,MEDIUM,DOUBLE
c,standard,syrk,1,0.003501,1,MEDIUM,DOUBLE
c,standard,syrk,2,0.003516,1,MEDIUM,DOUBLE
c,standard,syrk,3,0.003506,1,MEDIUM,DOUBLE
c,standard,syrk,4,0.003491,1,MEDIUM,DOUBLE
c,standard,syrk,5,0.003584,1,MEDIUM,DOUBLE
c,standard,trisolv,1,0.000136,1,MEDIUM,DOUBLE
c,standard,trisolv,2,0.000131,1,MEDIUM,DOUBLE
c,standard,trisolv,3,0.000131,1,MEDIUM,DOUBLE
c,standard,trisolv,4,0.000131,1,MEDIUM,DOUBLE
c,standard,trisolv,5,0.000144,1,MEDIUM,DOUBLE
c,standard,trmm,1,0.007133,1,MEDIUM,DOUBLE
c,standard,trmm,2,0.007074,1,MEDIUM,DOUBLE
c,standard,trmm,3,0.007123,1,MEDIUM,DOUBLE
c,standard,trmm,4,0.007151,1,MEDIUM,DOUBLE
c,standard,trmm,5,0.007124,1,MEDIUM,DOUBLE
polly,standard,2mm,1,0.004525,1,MEDIUM,DOUBLE
polly,standard,2mm,2,0.003492,1,MEDIUM,DOUBLE
polly,standard,2mm,3,0.003386,1,MEDIUM,DOUBLE
polly,standard,2mm,4,0.003602,1,MEDIUM,DOUBLE
polly,standard,2mm,5,0.002506,1,MEDIUM,DOUBLE
polly,standard,3mm,1,0.005725,1,MEDIUM,DOUBLE
polly,standard,3mm,2,0.003489,1,MEDIUM,DOUBLE
polly,standard,3mm,3,0.005534,1,MEDIUM,DOUBLE
polly,standard,3mm,4,0.004122,1,MEDIUM,DOUBLE
polly,standard,3mm,5,0.004060,1,MEDIUM,DOUBLE
polly,standard,adi,1,0.162303,1,MEDIUM,DOUBLE
polly,standard,adi,2,0.162660,1,MEDIUM,DOUBLE
polly,standard,adi,3,0.170830,1,MEDIUM,DOUBLE
polly,standard,adi,4,0.164501,1,MEDIUM,DOUBLE
polly,standard,adi,5,0.153139,1,MEDIUM,DOUBLE
polly,standard,atax,1,0.000528,1,MEDIUM,DOUBLE
polly,standard,atax,2,0.000435,1,MEDIUM,DOUBLE
polly,standard,atax,3,0.000632,1,MEDIUM,DOUBLE
polly,standard,atax,4,0.000494,1,MEDIUM,DOUBLE
polly,standard,atax,5,0.000691,1,MEDIUM,DOUBLE
polly,standard,bicg,1,0.000604,1,MEDIUM,DOUBLE
polly,standard,bicg,2,0.000452,1,MEDIUM,DOUBLE
polly,standard,bicg,3,0.000629,1,MEDIUM,DOUBLE
polly,standard,bicg,4,0.000652,1,MEDIUM,DOUBLE
polly,standard,bicg,5,0.000595,1,MEDIUM,DOUBLE
polly,standard,cholesky,1,0.015641,1,MEDIUM,DOUBLE
polly,standard,cholesky,2,0.015641,1,MEDIUM,DOUBLE
polly,standard,cholesky,3,0.015665,1,MEDIUM,DOUBLE
polly,standard,cholesky,4,0.015666,1,MEDIUM,DOUBLE
polly,standard,cholesky,5,0.015676,1,MEDIUM,DOUBLE
polly,standard,correlation,1,0.003139,1,MEDIUM,DOUBLE
polly,standard,correlation,2,0.003294,1,MEDIUM,DOUBLE
polly,standard,correlation,3,0.003211,1,MEDIUM,DOUBLE
polly,standard,correlation,4,0.003881,1,MEDIUM,DOUBLE
polly,standard,correlation,5,0.003126,1,MEDIUM,DOUBLE
polly,standard,covariance,1,0.003273,1,MEDIUM,DOUBLE
polly,standard,covariance,2,0.002350,1,MEDIUM,DOUBLE
polly,standard,covariance,3,0.002224,1,MEDIUM,DOUBLE
polly,standard,covariance,4,0.002381,1,MEDIUM,DOUBLE
polly,standard,covariance,5,0.002656,1,MEDIUM,DOUBLE
polly,standard,deriche,1,0.009163,1,MEDIUM,DOUBLE
polly,standard,deriche,2,0.008148,1,MEDIUM,DOUBLE
polly,standard,deriche,3,0.008989,1,MEDIUM,DOUBLE
polly,standard,deriche,4,0.008673,1,MEDIUM,DOUBLE
polly,standard,deriche,5,0.009081,1,MEDIUM,DOUBLE
polly,standard,doitgen,1,0.510903,1,MEDIUM,DOUBLE
polly,standard,doitgen,2,0.703220,1,MEDIUM,DOUBLE
polly,standard,doitgen,3,0.528451,1,MEDIUM,DOUBLE
polly,standard,doitgen,4,0.504797,1,MEDIUM,DOUBLE
polly,standard,doitgen,5,0.472513,1,MEDIUM,DOUBLE
polly,standard,durbin,1,0.000190,1,MEDIUM,DOUBLE
polly,standard,durbin,2,0.000191,1,MEDIUM,DOUBLE
polly,standard,durbin,3,0.000192,1,MEDIUM,DOUBLE
polly,standard,durbin,4,0.000190,1,MEDIUM,DOUBLE
polly,standard,durbin,5,0.000193,1,MEDIUM,DOUBLE
polly,standard,fdtd-2d,1,0.007654,1,MEDIUM,DOUBLE
polly,standard,fdtd-2d,2,0.007447,1,MEDIUM,DOUBLE
polly,standard,fdtd-2d,3,0.007512,1,MEDIUM,DOUBLE
polly,standard,fdtd-2d,4,0.007464,1,MEDIUM,DOUBLE
polly,standard,fdtd-2d,5,0.007518,1,MEDIUM,DOUBLE
