framework,version,algorithm,run,time_s,repetition,dataset_size,data_type
c,standard,2mm,1,0.000020,1,MINI,DOUBLE
c,standard,2mm,2,0.000019,1,MINI,DOUBLE
c,standard,2mm,3,0.000019,1,MINI,DOUBLE
c,standard,2mm,4,0.000030,1,MINI,DOUBLE
c,standard,2mm,5,0.000019,1,MINI,DOUBLE
c,standard,3mm,1,0.000032,1,MINI,DOUBLE
c,standard,3mm,2,0.000031,1,MINI,DOUBLE
c,standard,3mm,3,0.000044,1,MINI,DOUBLE
c,standard,3mm,4,0.000032,1,MINI,DOUBLE
c,standard,3mm,5,0.000032,1,MINI,DOUBLE
c,standard,adi,1,0.000128,1,MINI,DOUBLE
c,standard,adi,2,0.000128,1,MINI,DOUBLE
c,standard,adi,3,0.000128,1,MINI,DOUBLE
c,standard,adi,4,0.000127,1,MINI,DOUBLE
c,standard,adi,5,0.000128,1,MINI,DOUBLE
c,standard,atax,1,0.000003,1,MINI,DOUBLE
c,standard,atax,2,0.000003,1,MINI,DOUBLE
c,standard,atax,3,0.000003,1,MINI,DOUBLE
c,standard,atax,4,0.000003,1,MINI,DOUBLE
c,standard,atax,5,0.000004,1,MINI,DOUBLE
c,standard,bicg,1,0.000006,1,MINI,DOUBLE
c,standard,bicg,2,0.000006,1,MINI,DOUBLE
c,standard,bicg,3,0.000007,1,MINI,DOUBLE
c,standard,bicg,4,0.000006,1,MINI,DOUBLE
c,standard,bicg,5,0.000007,1,MINI,DOUBLE
c,standard,cholesky,1,0.000015,1,MINI,DOUBLE
c,standard,cholesky,2,0.000015,1,MINI,DOUBLE
c,standard,cholesky,3,0.000015,1,MINI,DOUBLE
c,standard,cholesky,4,0.000016,1,MINI,DOUBLE
c,standard,cholesky,5,0.000015,1,MINI,DOUBLE
c,standard,correlation,1,0.000025,1,MINI,DOUBLE
c,standard,correlation,2,0.000024,1,MINI,DOUBLE
c,standard,correlation,3,0.000024,1,MINI,DOUBLE
c,standard,correlation,4,0.000024,1,MINI,DOUBLE
c,standard,correlation,5,0.000023,1,MINI,DOUBLE
