framework,version,algorithm,run,time_s,repetition,dataset_size,data_type
c,standard,2mm,1,0.000442,1,SMALL,DOUBLE
c,standard,2mm,2,0.000456,1,SMALL,DOUBLE
c,standard,2mm,3,0.000432,1,SMALL,DOUBLE
c,standard,2mm,4,0.000434,1,SMALL,DOUBLE
c,standard,2mm,5,0.000443,1,SMALL,DOUBLE
c,standard,3mm,1,0.000790,1,SMALL,DOUBLE
c,standard,3mm,2,0.000788,1,SMALL,DOUBLE
c,standard,3mm,3,0.000796,1,SMALL,DOUBLE
c,standard,3mm,4,0.000810,1,SMALL,DOUBLE
c,standard,3mm,5,0.000790,1,SMALL,DOUBLE
c,standard,adi,1,0.002771,1,SMALL,DOUBLE
c,standard,adi,2,0.002795,1,SMALL,DOUBLE
c,standard,adi,3,0.002782,1,SMALL,DOUBLE
c,standard,adi,4,0.002773,1,SMALL,DOUBLE
c,standard,adi,5,0.002785,1,SMALL,DOUBLE
c,standard,atax,1,0.000039,1,SMALL,DOUBLE
c,standard,atax,2,0.000039,1,SMALL,DOUBLE
c,standard,atax,3,0.000039,1,SMALL,DOUBLE
c,standard,atax,4,0.000039,1,SMALL,DOUBLE
c,standard,atax,5,0.000039,1,SMALL,DOUBLE
c,standard,bicg,1,0.000055,1,SMALL,DOUBLE
c,standard,bicg,2,0.000054,1,SMALL,DOUBLE
c,standard,bicg,3,0.000052,1,SMALL,DOUBLE
c,standard,bicg,4,0.000054,1,SMALL,DOUBLE
c,standard,bicg,5,0.000054,1,SMALL,DOUBLE
c,standard,cholesky,1,0.000401,1,SMALL,DOUBLE
c,standard,cholesky,2,0.000388,1,SMALL,DOUBLE
c,standard,cholesky,3,0.000398,1,SMALL,DOUBLE
c,standard,cholesky,4,0.000389,1,SMALL,DOUBLE
c,standard,cholesky,5,0.000389,1,SMALL,DOUBLE
c,standard,correlation,1,0.000616,1,SMALL,DOUBLE
c,standard,correlation,2,0.000617,1,SMALL,DOUBLE
c,standard,correlation,3,0.000641,1,SMALL,DOUBLE
c,standard,correlation,4,0.000626,1,SMALL,DOUBLE
c,standard,correlation,5,0.000634,1,SMALL,DOUBLE
c,standard,covariance,1,0.000641,1,SMALL,DOUBLE
c,standard,covariance,2,0.000614,1,SMALL,DOUBLE
c,standard,covariance,3,0.000628,1,SMALL,DOUBLE
c,standard,covariance,4,0.000618,1,SMALL,DOUBLE
c,standard,covariance,5,0.000542,1,SMALL,DOUBLE
c,standard,deriche,1,0.000850,1,SMALL,DOUBLE
c,standard,deriche,2,0.000838,1,SMALL,DOUBLE
c,standard,deriche,3,0.000837,1,SMALL,DOUBLE
c,standard,deriche,4,0.000839,1,SMALL,DOUBLE
c,standard,deriche,5,0.000851,1,SMALL,DOUBLE
c,standard,doitgen,1,0.000661,1,SMALL,DOUBLE
c,standard,doitgen,2,0.000654,1,SMALL,DOUBLE
c,standard,doitgen,3,0.000657,1,SMALL,DOUBLE
c,standard,doitgen,4,0.000657,1,SMALL,DOUBLE
c,standard,doitgen,5,0.000644,1,SMALL,DOUBLE
c,standard,durbin,1,0.000020,1,SMALL,DOUBLE
c,standard,durbin,2,0.000019,1,SMALL,DOUBLE
c,standard,durbin,3,0.000018,1,SMALL,DOUBLE
c,standard,durbin,4,0.000019,1,SMALL,DOUBLE
c,standard,durbin,5,0.000019,1,SMALL,DOUBLE
c,standard,fdtd-2d,1,0.000322,1,SMALL,DOUBLE
c,standard,fdtd-2d,2,0.000338,1,SMALL,DOUBLE
c,standard,fdtd-2d,3,0.000320,1,SMALL,DOUBLE
c,standard,fdtd-2d,4,0.000322,1,SMALL,DOUBLE
c,standard,fdtd-2d,5,0.000425,1,SMALL,DOUBLE
c,standard,floyd-warshall,1,0.007333,1,SMALL,DOUBLE
c,standard,floyd-warshall,2,0.007333,1,SMALL,DOUBLE
c,standard,floyd-warshall,3,0.007343,1,SMALL,DOUBLE
c,standard,floyd-warshall,4,0.007323,1,SMALL,DOUBLE
c,standard,floyd-warshall,5,0.007326,1,SMALL,DOUBLE
c,standard,gemm,1,0.000104,1,SMALL,DOUBLE
c,standard,gemm,2,0.000111,1,SMALL,DOUBLE
c,standard,gemm,3,0.000107,1,SMALL,DOUBLE
c,standard,gemm,4,0.000103,1,SMALL,DOUBLE
c,standard,gemm,5,0.000105,1,SMALL,DOUBLE
c,standard,gemver,1,0.000068,1,SMALL,DOUBLE
c,standard,gemver,2,0.000067,1,SMALL,DOUBLE
c,standard,gemver,3,0.000066,1,SMALL,DOUBLE
c,standard,gemver,4,0.000065,1,SMALL,DOUBLE
c,standard,gemver,5,0.000065,1,SMALL,DOUBLE
c,standard,gesummv,1,0.000030,1,SMALL,DOUBLE
c,standard,gesummv,2,0.000029,1,SMALL,DOUBLE
c,standard,gesummv,3,0.000030,1,SMALL,DOUBLE
c,standard,gesummv,4,0.000030,1,SMALL,DOUBLE
c,standard,gesummv,5,0.000031,1,SMALL,DOUBLE
c,standard,gramschmidt,1,0.000448,1,SMALL,DOUBLE
